Game,Day,Date,StartTime,LOG,EndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Celtics,Knicks
19,Friday,2014-12-05,19:00:00,141,21:21:00,0,15092,Oklahoma City Thunder,91,103,-12,0,0,2014,1,18,-1,0,0,0
20,Saturday,2014-12-06,19:30:00,155,22:05:00,1,16514,Detroit Pistons,108,101,7,1,1,2014,2,18,1,0,0,0
21,Wednesday,2014-12-10,19:30:00,127,21:37:00,1,11733,Atlanta Hawks,79,95,-16,0,0,2014,2,19,-1,0,0,0
22,Friday,2014-12-12,19:30:00,124,21:34:00,1,16326,Brooklyn Nets,70,88,-18,0,0,2014,2,20,-2,0,0,0
23,Saturday,2014-12-13,19:30:00,169,22:19:00,0,13698,Memphis Grizzlies,115,120,-5,0,1,2014,2,21,-3,0,0,0
24,Monday,2014-12-15,19:00:00,136,21:16:00,0,12903,Boston Celtics,87,105,-18,0,0,2014,2,22,-4,1,1,0
25,Friday,2014-12-19,19:00:00,132,21:12:00,0,13398,Charlotte Hornets,91,109,-18,0,0,2014,2,23,-5,0,0,0
26,Sunday,2014-12-21,18:00:00,141,20:21:00,1,15682,Orlando Magic,96,88,8,1,0,2014,3,23,1,0,0,0
27,Tuesday,2014-12-23,19:30:00,143,21:53:00,1,19600,Miami Heat,91,87,4,1,0,2014,4,23,2,0,0,0
28,Friday,2014-12-26,22:00:00,129,00:09:00,1,19972,Portland Trail Blazers,93,114,-21,0,0,2014,4,24,-1,0,0,0
29,Saturday,2014-12-27,21:00:00,139,23:19:00,1,18890,Utah Jazz,71,88,-17,0,0,2014,4,25,-2,0,0,0
30,Tuesday,2014-12-30,22:30:00,124,00:34:00,1,19596,Golden State Warriors,86,126,-40,0,0,2014,4,26,-3,0,0,0
31,Friday,2015-01-02,21:00:00,135,23:15:00,1,16514,Phoenix Suns,96,112,-16,0,0,2014,4,27,-4,0,0,0
32,Saturday,2015-01-03,22:30:00,128,00:38:00,1,19060,Los Angeles Clippers,91,127,-36,0,0,2014,4,28,-5,0,0,0
33,Monday,2015-01-05,19:00:00,138,21:18:00,0,17771,Cleveland Cavaliers,95,92,3,1,0,2014,5,28,1,0,0,0
34,Wednesday,2015-01-07,19:00:00,132,21:12:00,0,10288,Milwaukee Bucks,77,97,-20,0,0,2014,5,29,-1,0,0,0
35,Friday,2015-01-09,19:30:00,130,21:40:00,1,16172,Brooklyn Nets,90,88,2,1,0,2014,6,29,1,0,0,0
36,Saturday,2015-01-10,19:30:00,151,22:01:00,0,17496,Indiana Pacers,93,92,1,1,0,2014,7,29,2,0,0,0
37,Tuesday,2015-01-13,19:00:00,124,21:04:00,0,10466,Atlanta Hawks,87,105,-18,0,0,2014,7,30,-1,0,0,0
38,Wednesday,2015-01-14,19:30:00,140,21:50:00,1,19800,Toronto Raptors,84,100,-16,0,0,2014,7,31,-2,0,0,0
39,Friday,2015-01-16,19:00:00,136,21:16:00,0,15672,New Orleans Pelicans,96,81,15,1,0,2014,8,31,1,0,0,0
40,Saturday,2015-01-17,19:30:00,119,21:29:00,1,15496,Detroit Pistons,89,107,-18,0,0,2014,8,32,-1,0,0,0
