"Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","cLI","Streak","Orig..Scheduled","Year"
59,"Friday Jun 6","boxscore","PHI","@","CIN","W",8,0,NA,"25-34",5,"7.0","Hamels","Cueto","","3:18","N",38331,0.42,"+","",2014
60,"Saturday Jun 7","boxscore","PHI","@","CIN","L",5,6,NA,"25-35",5,"7.0","Simón","Hernández","Chapman","2:56","D",36347,0.48,"-","",2014
61,"Sunday Jun 8","boxscore","PHI","@","CIN","L",1,4,NA,"25-36",5,"7.0","Bailey","Buchanan","Chapman","2:40","D",30222,0.41,"--","",2014
62,"Tuesday Jun 10","boxscore","PHI","","SDP","W",5,2,NA,"26-36",5,"7.5","Burnett","Kennedy","Papelbon","2:40","N",31037,0.37,"+","",2014
63,"Wednesday Jun 11","boxscore","PHI","","SDP","W-wo",3,0,NA,"27-36",5,"7.5","Papelbon","Vincent","","2:55","N",25398,0.37,"++","",2014
64,"Thursday Jun 12","boxscore","PHI","","SDP","W",7,3,NA,"28-36",4,"6.5","Kendrick","Stults","","3:05","D",29372,0.43,"+++","",2014
65,"Friday Jun 13","boxscore","PHI","","CHC","L",1,2,NA,"28-37",5,"6.5","Arrieta","Hernández","Ramírez","2:51","N",26154,0.52,"-","",2014
66,"Saturday Jun 14","boxscore","PHI","","CHC","W",7,4,NA,"29-37",4,"5.5","Buchanan","Jackson","Papelbon","3:04","D",31524,0.44,"+","",2014
67,"Sunday Jun 15","boxscore","PHI","","CHC","L",0,3,NA,"29-38",5,"6.5","Wood","Burnett","Ramírez","2:35","D",41238,0.54,"-","",2014
68,"Monday Jun 16","boxscore","PHI","@","ATL","W",6,1,13,"30-38",4,"5.5","Bastardo","Hale","","4:47","N",23900,0.53,"+","",2014
69,"Tuesday Jun 17","boxscore","PHI","@","ATL","W",5,2,NA,"31-38",4,"5.0","Kendrick","Santana","Papelbon","3:05","N",41631,0.67,"++","",2014
70,"Wednesday Jun 18","boxscore","PHI","@","ATL","W",10,5,NA,"32-38",4,"5.0","Hernández","Harang","","3:32","D",28500,0.72,"+++","",2014
71,"Thursday Jun 19","boxscore","PHI","@","STL","W",4,1,NA,"33-38",4,"4.0","Buchanan","Miller","Papelbon","2:48","N",42106,0.71,"++++","",2014
72,"Friday Jun 20","boxscore","PHI","@","STL","W",5,1,NA,"34-38",4,"3.5","Burnett","García","","2:48","N",44061,0.83,"+++++","",2014
73,"Saturday Jun 21","boxscore","PHI","@","STL","L",1,4,NA,"34-39",4,"4.0","Wainwright","Hamels","Rosenthal","2:48","D",44789,0.92,"-","",2014
74,"Sunday Jun 22","boxscore","PHI","@","STL","L",3,5,NA,"34-40",4,"5.0","Martínez","Kendrick","Rosenthal","2:54","D",43484,0.84,"--","",2014
75,"Monday Jun 23","boxscore","PHI","","MIA","L",0,4,NA,"34-41",5,"6.0","Eovaldi","Hernández","","3:14","N",32161,0.84,"---","",2014
76,"Tuesday Jun 24","boxscore","PHI","","MIA","W",7,4,NA,"35-41",5,"6.0","Buchanan","Heaney","Papelbon","3:15","N",24860,0.71,"+","",2014
77,"Wednesday Jun 25","boxscore","PHI","","MIA","L",2,3,NA,"35-42",5,"6.0","Álvarez","Burnett","Cishek","2:53","N",23360,0.78,"-","",2014
78,"Thursday Jun 26","boxscore","PHI","","MIA","W-wo",5,3,14,"36-42",4,"5.0","De Fratus","Hatcher","","4:41","N",34168,0.61,"+","",2014
79,"Friday Jun 27","boxscore","PHI","","ATL","L",2,4,NA,"36-43",4,"5.0","Teheran","Kendrick","Kimbrel","3:11","N",38100,0.77,"-","",2014
80,"Saturday Jun 28 (1)","boxscore","PHI","","ATL","L",3,10,NA,"36-44",5,"7.0","Santana","Hernández","","3:08","D",28845,0.72,"--","2014-04-15 (Rain)",2014
81,"Saturday Jun 28 (2)","boxscore","PHI","","ATL","L",1,5,NA,"36-45",5,"7.0","Hale","O'Sullivan","","3:09","N",30845,0.56,"---","",2014
82,"Sunday Jun 29","boxscore","PHI","","ATL","L",2,3,NA,"36-46",5,"8.0","Harang","Buchanan","Kimbrel","3:06","D",33215,0.48,"----","",2014
83,"Tuesday Jul 1","boxscore","PHI","@","MIA","L-wo",4,5,11,"36-47",5,"9.5","Morris","De Fratus","","3:37","N",18518,0.3,"-----","",2014
84,"Wednesday Jul 2","boxscore","PHI","@","MIA","L",0,5,NA,"36-48",5,"10.5","Koehler","Hamels","","3:11","N",20084,0.24,"------","",2014
85,"Thursday Jul 3","boxscore","PHI","@","MIA","W",5,4,NA,"37-48",4,"10.0","Diekman","Cishek","Papelbon","3:12","N",24915,0.18,"+","",2014
86,"Friday Jul 4","boxscore","PHI","@","PIT","L",2,8,NA,"37-49",5,"11.0","Cole","Hernández","","3:13","N",38977,0.23,"-","",2014
87,"Saturday Jul 5","boxscore","PHI","@","PIT","L",2,3,NA,"37-50",5,"12.0","Vólquez","Buchanan","Melancon","2:40","D",37821,0.18,"--","",2014
88,"Sunday Jul 6","boxscore","PHI","@","PIT","L",2,6,NA,"37-51",5,"12.0","Locke","Burnett","","2:43","D",33408,0.13,"---","",2014
89,"Monday Jul 7","boxscore","PHI","@","MIL","W",3,2,NA,"38-51",5,"11.0","Hamels","Estrada","Papelbon","3:25","N",28080,0.09,"+","",2014
90,"Tuesday Jul 8","boxscore","PHI","@","MIL","W",9,7,NA,"39-51",5,"10.0","Kendrick","Peralta","Papelbon","3:24","N",26126,0.12,"++","",2014
91,"Wednesday Jul 9","boxscore","PHI","@","MIL","W",4,1,NA,"40-51",5,"10.0","Hernández","Lohse","Papelbon","2:15","N",26480,0.16,"+++","",2014
92,"Thursday Jul 10","boxscore","PHI","@","MIL","W",9,1,NA,"41-51",5,"9.0","Buchanan","Garza","","3:06","D",36394,0.23,"++++","",2014
93,"Friday Jul 11","boxscore","PHI","","WSN","W",6,2,NA,"42-51",5,"8.0","Burnett","Zimmermann","","2:44","N",30094,0.29,"+++++","",2014
94,"Saturday Jul 12","boxscore","PHI","","WSN","L",3,5,10,"42-52",5,"9.0","Detwiler","Diekman","Soriano","4:03","N",32072,0.41,"-","",2014
95,"Sunday Jul 13","boxscore","PHI","","WSN","L",3,10,NA,"42-53",5,"10.0","Roark","Kendrick","","3:03","D",30185,0.28,"--","",2014
96,"Friday Jul 18","boxscore","PHI","@","ATL","L",4,6,NA,"42-54",5,"11.0","Santana","Burnett","Kimbrel","2:45","N",39747,0.19,"---","",2014
97,"Saturday Jul 19","boxscore","PHI","@","ATL","W",2,1,NA,"43-54",5,"10.0","Hamels","Simmons","Papelbon","2:57","N",38602,0.15,"+","",2014
98,"Sunday Jul 20","boxscore","PHI","@","ATL","L",2,8,NA,"43-55",5,"11.0","Wood","Kendrick","","2:44","D",24859,0.2,"-","",2014
99,"Monday Jul 21","boxscore","PHI","","SFG","L",4,7,NA,"43-56",5,"12.0","Kontos","Lee","Casilla","3:28","N",27334,0.11,"--","",2014
100,"Tuesday Jul 22","boxscore","PHI","","SFG","L",6,9,14,"43-57",5,"13.0","Kontos","Manship","Lincecum","5:46","N",30109,0.09,"---","",2014
101,"Wednesday Jul 23","boxscore","PHI","","SFG","L",1,3,NA,"43-58",5,"13.0","Bumgarner","Papelbon","Casilla","3:02","N",28648,0.05,"----","",2014
102,"Thursday Jul 24","boxscore","PHI","","SFG","W",2,1,NA,"44-58",5,"12.5","Hamels","Hudson","Papelbon","2:46","D",33258,0.05,"+","",2014
103,"Friday Jul 25","boxscore","PHI","","ARI","W",9,5,NA,"45-58",5,"12.5","Kendrick","Miley","","3:23","N",25698,0.05,"++","",2014
104,"Saturday Jul 26","boxscore","PHI","","ARI","L",6,10,10,"45-59",5,"12.5","Marshall","Bastardo","","4:20","N",29097,0.06,"-","",2014
105,"Sunday Jul 27","boxscore","PHI","","ARI","W",4,2,NA,"46-59",5,"12.5","Hernández","Nuño","Papelbon","2:30","D",31514,0.05,"+","",2014
106,"Monday Jul 28","boxscore","PHI","@","NYM","L",1,7,NA,"46-60",5,"12.5","Colón","Burnett","","2:54","N",26525,0.06,"-","",2014
107,"Tuesday Jul 29","boxscore","PHI","@","NYM","W",6,0,NA,"47-60",5,"11.5","Hamels","Gee","","2:36","N",27069,0.04,"+","",2014
108,"Wednesday Jul 30","boxscore","PHI","@","NYM","L",2,11,NA,"47-61",5,"12.5","Wheeler","Kendrick","","3:28","D",37647,0.07,"-","",2014
109,"Thursday Jul 31","boxscore","PHI","@","WSN","W",10,4,NA,"48-61",5,"11.5","Bastardo","Gonzalez","","3:31","N",35722,0.05,"+","",2014
110,"Friday Aug 1","boxscore","PHI","@","WSN","W",2,1,NA,"49-61",5,"10.5","Hernández","Fister","Papelbon","2:28","N",28410,0.08,"++","",2014
111,"Saturday Aug 2","boxscore","PHI","@","WSN","L",0,11,NA,"49-62",5,"11.5","Zimmermann","Burnett","","3:19","N",36155,0.11,"-","",2014
112,"Sunday Aug 3","boxscore","PHI","@","WSN","L",0,4,NA,"49-63",5,"12.5","Strasburg","Hamels","","2:47","D",30038,0.09,"--","",2014
113,"Tuesday Aug 5","boxscore","PHI","","HOU","W-wo",2,1,15,"50-63",5,"11.0","Neris","Buchanan","","5:05","N",28336,0.05,"+","",2014
114,"Wednesday Aug 6","boxscore","PHI","","HOU","W",10,3,NA,"51-63",5,"11.0","Buchanan","Peacock","","2:45","N",26691,0.07,"++","",2014
115,"Thursday Aug 7","boxscore","PHI","","HOU","W",6,5,NA,"52-63",5,"11.0","Hollands","Sipp","Papelbon","2:47","N",26609,0.08,"+++","",2014
116,"Friday Aug 8","boxscore","PHI","","NYM","L",4,5,NA,"52-64",5,"11.0","Colón","Burnett","Mejía","2:51","N",32307,0.09,"-","",2014
117,"Saturday Aug 9","boxscore","PHI","","NYM","L",1,2,11,"52-65",5,"12.0","Eveland","Bastardo","Familia","3:41","N",39153,0.06,"--","",2014
118,"Sunday Aug 10","boxscore","PHI","","NYM","W-wo",7,6,NA,"53-65",5,"11.0","Giles","Mejía","","3:14","D",31061,0.05,"+","",2014
119,"Monday Aug 11","boxscore","PHI","","NYM","L",3,5,NA,"53-66",5,"11.5","Niese","Buchanan","Familia","2:48","D",26076,0.08,"-","",2014
120,"Tuesday Aug 12","boxscore","PHI","@","LAA","L",2,7,NA,"53-67",5,"12.5","Wilson","Bastardo","","2:56","N",37296,0.04,"--","",2014
121,"Wednesday Aug 13","boxscore","PHI","@","LAA","L",3,4,NA,"53-68",5,"13.5","Weaver","Burnett","Street","2:51","N",38802,0.02,"---","",2014
122,"Friday Aug 15","boxscore","PHI","@","SFG","W",5,3,10,"54-68",5,"14.0","Giles","Casilla","Papelbon","3:36","N",41425,0.02,"+","",2014
123,"Saturday Aug 16","boxscore","PHI","@","SFG","L",5,6,NA,"54-69",5,"15.0","Affeldt","Bastardo","Romo","3:34","D",41907,0.02,"-","",2014
124,"Sunday Aug 17","boxscore","PHI","@","SFG","L",2,5,NA,"54-70",5,"16.0","Lincecum","Buchanan","Casilla","2:57","D",41851,0.01,"--","",2014
125,"Monday Aug 18","boxscore","PHI","","SEA","W",4,1,NA,"55-70",5,"16.0","Williams","Elías","Papelbon","2:52","N",28102,0,"+","",2014
126,"Tuesday Aug 19","boxscore","PHI","","SEA","L",2,5,NA,"55-71",5,"17.0","Iwakuma","Burnett","Rodney","3:06","N",31592,0.01,"-","",2014
127,"Wednesday Aug 20","boxscore","PHI","","SEA","W",4,3,NA,"56-71",5,"17.0","Hamels","Paxton","Papelbon","3:00","D",25157,0,"+","",2014
128,"Friday Aug 22","boxscore","PHI","","STL","W",5,4,NA,"57-71",5,"16.5","Kendrick","Wainwright","Papelbon","2:48","N",28366,0,"++","",2014
129,"Saturday Aug 23","boxscore","PHI","","STL","L",5,6,12,"57-72",5,"17.5","Maness","Giles","Rosenthal","4:53","N",30352,0.01,"-","",2014
130,"Sunday Aug 24","boxscore","PHI","","STL","W",7,1,NA,"58-72",5,"17.5","Williams","Masterson","","2:33","D",30580,0,"+","",2014
131,"Monday Aug 25","boxscore","PHI","","WSN","W",3,2,NA,"59-72",5,"16.5","Burnett","Roark","Papelbon","2:46","N",23089,0,"++","",2014
132,"Tuesday Aug 26","boxscore","PHI","","WSN","W",4,3,NA,"60-72",5,"15.5","Giles","Clippard","Papelbon","2:24","N",25238,0,"+++","",2014
133,"Wednesday Aug 27","boxscore","PHI","","WSN","W",8,4,NA,"61-72",5,"14.5","Kendrick","Fister","","3:04","N",33183,0.01,"++++","",2014
134,"Friday Aug 29","boxscore","PHI","@","NYM","L",1,4,NA,"61-73",5,"15.5","deGrom","Diekman","Mejía","2:31","N",25250,0.01,"-","",2014
135,"Saturday Aug 30","boxscore","PHI","@","NYM","W",7,2,NA,"62-73",5,"15.5","Williams","Colón","","2:58","N",28053,0,"+","",2014
136,"Sunday Aug 31","boxscore","PHI","@","NYM","L",5,6,NA,"62-74",5,"15.5","Gee","Burnett","Mejía","3:14","D",27159,0.01,"-","",2014
137,"Monday Sep 1","boxscore","PHI","@","ATL","W",7,0,NA,"63-74",5,"15.5","Hamels","Teheran","","3:10","D",34178,0,"+","",2014
138,"Tuesday Sep 2","boxscore","PHI","@","ATL","W",4,0,NA,"64-74",5,"14.5","Kendrick","Minor","","2:57","N",19444,0,"++","",2014
139,"Wednesday Sep 3","boxscore","PHI","@","ATL","L",4,7,NA,"64-75",5,"15.5","Santana","Hollands","Kimbrel","3:08","D",19724,0.01,"-","",2014
140,"Friday Sep 5","boxscore","PHI","@","WSN","W",9,8,11,"65-75",5,"14.5","Diekman","Stammen","Papelbon","4:32","N",27437,0,"+","",2014
141,"Saturday Sep 6","boxscore","PHI","@","WSN","W",3,1,NA,"66-75",5,"13.5","Burnett","Roark","Papelbon","2:33","D",37408,0.01,"++","",2014
142,"Sunday Sep 7","boxscore","PHI","@","WSN","L",2,3,NA,"66-76",5,"14.5","Gonzalez","Hamels","Storen","3:20","D",29108,0.01,"-","",2014
143,"Monday Sep 8","boxscore","PHI","","PIT","L",4,6,NA,"66-77",5,"15.5","Locke","Kendrick","Melancon","3:08","N",23140,0.01,"--","",2014
144,"Tuesday Sep 9","boxscore","PHI","","PIT","W",4,3,NA,"67-77",5,"15.5","De Fratus","Wilson","Papelbon","2:56","N",26900,0,"+","",2014
145,"Wednesday Sep 10","boxscore","PHI","","PIT","L",3,6,NA,"67-78",5,"15.5","Worley","Williams","Melancon","3:08","N",25315,0.01,"-","",2014
146,"Thursday Sep 11","boxscore","PHI","","PIT","L",1,4,NA,"67-79",5,"16.5","Liriano","Burnett","Melancon","3:09","N",26535,0,"--","",2014
147,"Friday Sep 12","boxscore","PHI","","MIA","W-wo",3,1,10,"68-79",5,"15.5","Diekman","Jennings","","3:02","N",27039,0,"+","",2014
148,"Saturday Sep 13","boxscore","PHI","","MIA","W",2,1,NA,"69-79",5,"15.5","Kendrick","Hand","Papelbon","2:33","N",26163,0,"++","",2014
149,"Sunday Sep 14","boxscore","PHI","","MIA","L",4,5,NA,"69-80",5,"16.5","DeSclafani","Papelbon","Cishek","3:20","D",30201,0,"-","",2014
150,"Monday Sep 15","boxscore","PHI","@","SDP","L",0,1,NA,"69-81",5,"17.5","Cashner","Williams","","2:09","N",17558,0,"--","",2014
151,"Tuesday Sep 16","boxscore","PHI","@","SDP","L",4,5,NA,"69-82",5,"18.5","Kennedy","Burnett","Quackenbush","3:11","N",24541,0,"---","",2014
152,"Wednesday Sep 17","boxscore","PHI","@","SDP","W",5,2,NA,"70-82",5,"17.5","Hamels","Stults","","2:50","N",17311,0,"+","",2014
153,"Thursday Sep 18","boxscore","PHI","@","SDP","L",3,7,NA,"70-83",5,"18.5","Erlin","Kendrick","","3:02","N",18076,0,"-","",2014
154,"Friday Sep 19","boxscore","PHI","@","OAK","L",1,3,NA,"70-84",5,"19.5","Lester","Buchanan","Doolittle","2:56","N",35067,0,"--","",2014
155,"Saturday Sep 20","boxscore","PHI","@","OAK","W",3,0,NA,"71-84",5,"19.5","Williams","Otero","Giles","2:59","D",31848,0,"+","",2014
