"Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","cLI","Streak","Orig..Scheduled","Year"
16,"Wednesday Apr 20","boxscore","PHI","","NYM","W-wo",5,4,11,"7-9",3,"5","Gómez","Robles","","4:03","N",20057,0.88,"+",NA,2016
17,"Friday Apr 22","boxscore","PHI","@","MIL","W",5,2,NA,"8-9",3,"4.5","Nola","Davies","","2:48","N",23439,0.84,"++",NA,2016
18,"Saturday Apr 23","boxscore","PHI","@","MIL","W",10,6,NA,"9-9",3,"4.5","Oberholtzer","Anderson","","4:00","N",34813,0.91,"+++",NA,2016
19,"Sunday Apr 24","boxscore","PHI","@","MIL","L",5,8,NA,"9-10",3,"5.5","Peralta","Eickhoff","Jeffress","2:49","D",28131,0.95,"-",NA,2016
20,"Tuesday Apr 26","boxscore","PHI","@","WSN","W",4,3,NA,"10-10",3,"4.5","Velasquez","Pérez","Gómez","3:25","N",25097,1.08,"+",NA,2016
21,"Wednesday Apr 27","boxscore","PHI","@","WSN","W",3,0,NA,"11-10",3,"3.5","Hellickson","Gonzalez","Gómez","2:59","N",24186,1.13,"++",NA,2016
22,"Thursday Apr 28","boxscore","PHI","@","WSN","W",3,0,NA,"12-10",3,"2.5","Araújo","Vazquez","Gómez","2:59","D",22112,1.19,"+++",NA,2016
23,"Friday Apr 29","boxscore","PHI","","CLE","W-wo",4,3,11,"13-10",3,"2.5","Hernandez","Allen","","3:20","N",18677,0.97,"++++",NA,2016
24,"Saturday Apr 30","boxscore","PHI","","CLE","W",4,3,NA,"14-10",3,"2.5","Bailey","Hunter","Gómez","3:03","N",23636,1,"+++++",NA,2016
25,"Sunday May 1","boxscore","PHI","","CLE","W",2,1,NA,"15-10",3,"2.5","Velasquez","Salazar","Neris","2:40","D",23809,0.98,"++++++",NA,2016
26,"Monday May 2","boxscore","PHI","@","STL","L",3,10,NA,"15-11",3,"3.5","Wainwright","Hellickson","","3:01","N",40438,1.11,"-",NA,2016
27,"Tuesday May 3","boxscore","PHI","@","STL","W",1,0,NA,"16-11",3,"2.5","Nola","Wacha","Gómez","2:31","N",40087,1.06,"+",NA,2016
28,"Wednesday May 4","boxscore","PHI","@","STL","L-wo",4,5,NA,"16-12",3,"3.5","Siegrist","Gómez","","3:03","N",40725,1.1,"-",NA,2016
29,"Thursday May 5","boxscore","PHI","@","STL","L",0,4,NA,"16-13",3,"3.5","García","Eickhoff","","2:39","D",41818,1.05,"--",NA,2016
30,"Friday May 6","boxscore","PHI","@","MIA","L",4,6,NA,"16-14",4,"3.5","Barraclough","Neris","Phelps","2:49","N",19983,1.15,"---",NA,2016
31,"Saturday May 7","boxscore","PHI","@","MIA","W",4,3,NA,"17-14",3,"2.5","Oberholtzer","Breslow","Gómez","3:20","N",21719,1.17,"+",NA,2016
32,"Sunday May 8","boxscore","PHI","@","MIA","W",6,5,NA,"18-14",3,"2","Neris","Phelps","Gómez","3:10","D",19625,1.15,"++",NA,2016
33,"Tuesday May 10","boxscore","PHI","@","ATL","W",3,2,NA,"19-14",3,"1.5","Morgan","Wisler","Gómez","2:33","N",14490,1.11,"+++",NA,2016
34,"Wednesday May 11","boxscore","PHI","@","ATL","L",1,5,NA,"19-15",3,"2.5","Pérez","Eickhoff","","2:20","N",13760,1.11,"-",NA,2016
35,"Thursday May 12","boxscore","PHI","@","ATL","W",7,4,10,"20-15",3,"1.5","Bailey","Grilli","Gómez","3:14","N",15643,1.09,"+",NA,2016
36,"Friday May 13","boxscore","PHI","","CIN","W",3,2,NA,"21-15",3,"1.5","Hellickson","Finnegan","Gómez","2:37","N",22230,1.18,"++",NA,2016
37,"Saturday May 14","boxscore","PHI","","CIN","W",4,3,NA,"22-15",2,"1","Nola","Adleman","Hernandez","2:45","N",29535,1.13,"+++",NA,2016
38,"Sunday May 15","boxscore","PHI","","CIN","L",4,9,NA,"22-16",2,"1","Straily","Morgan","Cingrani","3:52","D",27869,1.21,"-",NA,2016
39,"Monday May 16","boxscore","PHI","","MIA","L",3,5,NA,"22-17",2,"1.5","Conley","Eickhoff","Ramos","3:07","N",28348,1.34,"--",NA,2016
40,"Tuesday May 17","boxscore","PHI","","MIA","W",3,1,NA,"23-17",2,"0.5","Velasquez","Chen","Gómez","2:53","N",18140,1.36,"+",NA,2016
41,"Wednesday May 18","boxscore","PHI","","MIA","W",4,2,NA,"24-17",2,"0.5","Hellickson","Koehler","Gómez","2:29","D",29579,1.37,"++",NA,2016
42,"Friday May 20","boxscore","PHI","","ATL","L",1,7,NA,"24-18",2,"2","Wisler","Nola","","3:00","N",27257,1.24,"-",NA,2016
43,"Saturday May 21","boxscore","PHI","","ATL","L",0,2,NA,"24-19",3,"2","Pérez","Morgan","Vizcaíno","2:56","D",20196,1.17,"--",NA,2016
44,"Sunday May 22","boxscore","PHI","","ATL","W",5,0,NA,"25-19",3,"2","Eickhoff","Kelly","","2:35","D",23367,1.19,"+",NA,2016
45,"Monday May 23","boxscore","PHI","@","DET","L",4,5,NA,"25-20",3,"2","Wilson","Murray","Rodríguez","3:10","N",26400,1.13,"-",NA,2016
46,"Tuesday May 24","boxscore","PHI","@","DET","L",1,3,NA,"25-21",3,"3","Verlander","Hellickson","Rodríguez","2:38","N",26531,1.16,"--",NA,2016
47,"Wednesday May 25","boxscore","PHI","@","DET","W",8,5,NA,"26-21",3,"2","Nola","Sánchez","Gómez","3:11","D",31187,1.07,"+",NA,2016
48,"Friday May 27","boxscore","PHI","@","CHC","L",2,6,NA,"26-22",3,"2.5","Lester","Morgan","","3:04","D",38941,1.13,"-",NA,2016
49,"Saturday May 28","boxscore","PHI","@","CHC","L",1,4,NA,"26-23",3,"2.5","Hendricks","Eickhoff","","2:18","D",41555,1.11,"--",NA,2016
50,"Sunday May 29","boxscore","PHI","@","CHC","L",2,7,NA,"26-24",3,"3.5","Lackey","Velasquez","","2:50","D",41575,1.08,"---",NA,2016
51,"Monday May 30","boxscore","PHI","","WSN","L",3,4,NA,"26-25",3,"4.5","Roark","Neris","Papelbon","2:53","N",21993,1.26,"----",NA,2016
52,"Tuesday May 31","boxscore","PHI","","WSN","L",1,5,NA,"26-26",4,"5.5","Ross","Nola","","2:54","N",18572,1.2,"-----",NA,2016
53,"Wednesday Jun 1","boxscore","PHI","","WSN","L",2,7,NA,"26-27",4,"6.5","Scherzer","Morgan","","2:45","N",19052,1.14,"------",NA,2016
54,"Thursday Jun 2","boxscore","PHI","","MIL","L",1,4,NA,"26-28",4,"7","Anderson","Eickhoff","Jeffress","3:14","N",22890,0.83,"-------",NA,2016
55,"Friday Jun 3","boxscore","PHI","","MIL","W",6,3,NA,"27-28",4,"6","Bailey","Nelson","Gómez","3:03","N",20138,0.77,"+",NA,2016
56,"Saturday Jun 4","boxscore","PHI","","MIL","L",3,6,NA,"27-29",4,"6","Smith","Neris","Jeffress","3:25","D",25177,0.86,"-",NA,2016
57,"Sunday Jun 5","boxscore","PHI","","MIL","W",8,1,NA,"28-29",4,"6","Nola","Peralta","","3:05","D",24259,0.76,"+",NA,2016
58,"Monday Jun 6","boxscore","PHI","","CHC","L",4,6,NA,"28-30",4,"6.5","Lester","Morgan","Rondón","3:05","N",22162,0.81,"-",NA,2016
59,"Tuesday Jun 7","boxscore","PHI","","CHC","W",3,2,NA,"29-30",4,"6.5","Eickhoff","Hendricks","Gómez","2:45","N",27381,0.7,"+",NA,2016
60,"Wednesday Jun 8","boxscore","PHI","","CHC","L",1,8,NA,"29-31",4,"7.5","Lackey","Oberholtzer","","2:44","D",28650,0.81,"-",NA,2016
61,"Friday Jun 10","boxscore","PHI","@","WSN","L",6,9,NA,"29-32",4,"8","Strasburg","Hellickson","Papelbon","2:53","N",37941,0.87,"--",NA,2016
62,"Saturday Jun 11","boxscore","PHI","@","WSN","L",0,8,NA,"29-33",4,"9","Roark","Nola","","2:56","D",38044,0.76,"---",NA,2016
63,"Sunday Jun 12","boxscore","PHI","@","WSN","L-wo",4,5,NA,"29-34",4,"10","Papelbon","Gómez","","2:56","D",34294,0.68,"----",NA,2016
64,"Monday Jun 13","boxscore","PHI","@","TOR","W",7,0,NA,"30-34",4,"10","Eickhoff","Dickey","","2:55","N",35678,0.47,"+",NA,2016
65,"Tuesday Jun 14","boxscore","PHI","@","TOR","L",3,11,NA,"30-35",4,"10","Stroman","Eflin","","2:43","D",47066,0.54,"-",NA,2016
66,"Wednesday Jun 15","boxscore","PHI","","TOR","L",2,7,NA,"30-36",4,"11","Estrada","Hellickson","","2:51","N",24753,0.49,"--",NA,2016
67,"Thursday Jun 16","boxscore","PHI","","TOR","L",2,13,NA,"30-37",4,"12","Happ","Nola","","3:04","N",22279,0.44,"---",NA,2016
68,"Friday Jun 17","boxscore","PHI","","ARI","L",2,10,NA,"30-38",4,"13","Ray","Morgan","","3:04","N",19282,0.37,"----",NA,2016
69,"Saturday Jun 18","boxscore","PHI","","ARI","L",1,4,NA,"30-39",4,"13","Greinke","Eickhoff","Ziegler","2:37","D",33797,0.3,"-----",NA,2016
70,"Sunday Jun 19","boxscore","PHI","","ARI","L",1,5,NA,"30-40",4,"13","Bradley","Eflin","","2:59","D",40214,0.28,"------",NA,2016
71,"Monday Jun 20","boxscore","PHI","","ARI","L",1,3,NA,"30-41",4,"13","Miller","Hellickson","Ziegler","2:40","D",22118,0.26,"-------",NA,2016
72,"Tuesday Jun 21","boxscore","PHI","@","MIN","L",10,14,NA,"30-42",4,"13","Boshers","Nola","Kintzler","3:24","N",25714,0.2,"--------",NA,2016
73,"Wednesday Jun 22","boxscore","PHI","@","MIN","L",5,6,NA,"30-43",4,"13","Rogers","Hernandez","Abad","2:48","N",25032,0.18,"---------",NA,2016
74,"Thursday Jun 23","boxscore","PHI","@","MIN","W",7,3,NA,"31-43",4,"12.5","Eickhoff","Nolasco","","3:07","D",30012,0.13,"+",NA,2016
75,"Friday Jun 24","boxscore","PHI","@","SFG","L",4,5,NA,"31-44",4,"12.5","Peavy","Araújo","Casilla","3:21","N",42238,0.17,"-",NA,2016
76,"Saturday Jun 25","boxscore","PHI","@","SFG","W",3,2,NA,"32-44",4,"11.5","Hellickson","Bumgarner","Gómez","2:47","N",41928,0.14,"+",NA,2016
77,"Sunday Jun 26","boxscore","PHI","@","SFG","L-wo",7,8,NA,"32-45",4,"12.5","Gearrin","González","","3:16","D",41479,0.18,"-",NA,2016
78,"Monday Jun 27","boxscore","PHI","@","ARI","W",8,0,NA,"33-45",4,"12.5","Velasquez","Ray","","3:18","N",22567,0.13,"+",NA,2016
79,"Tuesday Jun 28","boxscore","PHI","@","ARI","W",4,3,NA,"34-45",4,"12.5","Neris","Ziegler","Gómez","3:34","N",19645,0.17,"++",NA,2016
80,"Wednesday Jun 29","boxscore","PHI","@","ARI","W",9,8,10,"35-45",4,"12.5","Gómez","Bracho","Oberholtzer","3:53","D",18603,0.2,"+++",NA,2016
81,"Friday Jul 1","boxscore","PHI","","KCR","W",4,3,NA,"36-45",4,"13","Hellickson","Kennedy","Gómez","3:06","N",30263,0.25,"++++",NA,2016
82,"Saturday Jul 2","boxscore","PHI","","KCR","L",2,6,NA,"36-46",4,"13","Duffy","Nola","","2:47","N",40331,0.24,"-",NA,2016
83,"Sunday Jul 3","boxscore","PHI","","KCR","W",7,2,NA,"37-46",4,"13","Velasquez","Ventura","","2:42","D",20473,0.21,"+",NA,2016
84,"Monday Jul 4","boxscore","PHI","","ATL","W",8,2,NA,"38-46",4,"12","Eickhoff","De La Cruz","","2:27","D",19064,0.21,"++",NA,2016
85,"Tuesday Jul 5","boxscore","PHI","","ATL","W",5,1,NA,"39-46",4,"11","Eflin","Foltynewicz","","2:08","N",18426,0.27,"+++",NA,2016
86,"Wednesday Jul 6","boxscore","PHI","","ATL","W",4,3,NA,"40-46",4,"11","Neris","Vizcaíno","Gómez","2:54","D",19211,0.29,"++++",NA,2016
87,"Thursday Jul 7","boxscore","PHI","@","COL","L",2,11,NA,"40-47",4,"11","Bettis","Morgan","","2:53","N",35250,0.38,"-",NA,2016
88,"Friday Jul 8","boxscore","PHI","@","COL","W",5,3,NA,"41-47",4,"11","Velasquez","McGee","Gómez","3:36","N",42335,0.32,"+",NA,2016
89,"Saturday Jul 9","boxscore","PHI","@","COL","L",3,8,NA,"41-48",4,"12","Anderson","Eickhoff","Lyles","2:45","N",48105,0.35,"-",NA,2016
90,"Sunday Jul 10","boxscore","PHI","@","COL","W",10,3,NA,"42-48",4,"12","Eflin","Chatwood","","3:11","D",32113,0.28,"+",NA,2016
91,"Friday Jul 15","boxscore","PHI","","NYM","L",3,5,NA,"42-49",4,"13","Colón","Hellickson","Familia","3:10","N",28076,0.35,"-",NA,2016
92,"Saturday Jul 16","boxscore","PHI","","NYM","W",4,2,NA,"43-49",4,"13","Ramos","Blevins","Gómez","3:11","N",37324,0.26,"+",NA,2016
93,"Sunday Jul 17","boxscore","PHI","","NYM","L",0,5,NA,"43-50",4,"13","deGrom","Eflin","","2:21","D",30894,0.33,"-",NA,2016
94,"Monday Jul 18","boxscore","PHI","","MIA","L",2,3,11,"43-51",4,"13.5","Barraclough","Oberholtzer","Ramos","3:05","N",19115,0.26,"--",NA,2016
95,"Tuesday Jul 19","boxscore","PHI","","MIA","L",1,2,10,"43-52",4,"13.5","Dunn","Hernandez","Ramos","3:26","N",18347,0.2,"---",NA,2016
96,"Wednesday Jul 20","boxscore","PHI","","MIA","W",4,1,NA,"44-52",4,"13.5","Hellickson","Chen","Gómez","2:37","N",20654,0.14,"+",NA,2016
97,"Thursday Jul 21","boxscore","PHI","","MIA","L",3,9,NA,"44-53",4,"13.5","Koehler","Eickhoff","","2:57","N",27839,0.18,"-",NA,2016
98,"Friday Jul 22","boxscore","PHI","@","PIT","W",4,0,NA,"45-53",4,"12.5","Eflin","Cole","","2:38","N",33703,0.12,"+",NA,2016
99,"Saturday Jul 23","boxscore","PHI","@","PIT","L",4,7,NA,"45-54",4,"13.5","Nicasio","Nola","Melancon","3:35","D",35802,0.16,"-",NA,2016
100,"Sunday Jul 24","boxscore","PHI","@","PIT","L",4,5,NA,"45-55",4,"13.5","Feliz","Ramos","Melancon","3:08","D",32439,0.14,"--",NA,2016
101,"Monday Jul 25","boxscore","PHI","@","MIA","W",4,0,NA,"46-55",4,"13","Hernandez","Rodney","","3:03","N",19465,0.11,"+",NA,2016
102,"Tuesday Jul 26","boxscore","PHI","@","MIA","L",0,5,NA,"46-56",4,"13","Koehler","Eickhoff","","2:41","N",20365,0.14,"-",NA,2016
103,"Wednesday Jul 27","boxscore","PHI","@","MIA","L",1,11,NA,"46-57",4,"14","Conley","Eflin","","2:57","D",32403,0.11,"--",NA,2016
104,"Thursday Jul 28","boxscore","PHI","@","ATL","W",7,5,NA,"47-57",4,"14","Nola","Wisler","Gómez","3:25","N",22785,0.06,"+",NA,2016
105,"Friday Jul 29","boxscore","PHI","@","ATL","L",1,2,NA,"47-58",4,"15","Jenkins","Velasquez","Johnson","2:43","N",27732,0.09,"-",NA,2016
106,"Saturday Jul 30","boxscore","PHI","@","ATL","W",9,5,NA,"48-58",4,"14","Hellickson","Teheran","","3:40","N",38236,0.07,"+",NA,2016
107,"Sunday Jul 31","boxscore","PHI","@","ATL","L",1,2,NA,"48-59",4,"14","Cabrera","Bailey","Johnson","2:43","D",21545,0.09,"-",NA,2016
108,"Tuesday Aug 2","boxscore","PHI","","SFG","W",13,8,NA,"49-59",4,"14.5","Neris","Smith","","3:16","N",23351,0.07,"+",NA,2016
109,"Wednesday Aug 3","boxscore","PHI","","SFG","W-wo",5,4,12,"50-59",4,"14.5","García","Kontos","","4:03","N",23162,0.08,"++",NA,2016
110,"Thursday Aug 4","boxscore","PHI","","SFG","L",2,3,10,"50-60",4,"15","Romo","González","Casilla","3:30","D",30229,0.11,"-",NA,2016
111,"Friday Aug 5","boxscore","PHI","@","SDP","W",5,4,NA,"51-60",4,"15","Hellickson","Friedrich","Gómez","2:55","N",27521,0.08,"+",NA,2016
112,"Saturday Aug 6","boxscore","PHI","@","SDP","L",7,9,NA,"51-61",4,"15","Baumann","Thompson","","3:17","N",37453,0.09,"-",NA,2016
113,"Sunday Aug 7","boxscore","PHI","@","SDP","W",6,5,NA,"52-61",4,"15","Eickhoff","Hand","Gómez","3:13","D",32710,0.09,"+",NA,2016
114,"Monday Aug 8","boxscore","PHI","@","LAD","L",4,9,NA,"52-62",4,"15.5","Urías","Eflin","","2:50","N",48370,0.1,"-",NA,2016
115,"Tuesday Aug 9","boxscore","PHI","@","LAD","L",3,9,NA,"52-63",4,"15.5","Maeda","Velasquez","","3:17","N",42859,0.08,"--",NA,2016
116,"Wednesday Aug 10","boxscore","PHI","@","LAD","W",6,2,NA,"53-63",4,"15.5","Araújo","Kazmir","","3:17","D",41098,0.06,"+",NA,2016
117,"Friday Aug 12","boxscore","PHI","","COL","W",10,6,NA,"54-63",4,"14.5","Thompson","Gray","","3:25","N",23600,0.07,"++",NA,2016
118,"Saturday Aug 13","boxscore","PHI","","COL","W",6,3,NA,"55-63",4,"14.5","Eickhoff","Anderson","Gómez","3:20","N",23203,0.14,"+++",NA,2016
119,"Sunday Aug 14","boxscore","PHI","","COL","W",7,6,NA,"56-63",4,"14.5","González","Chatwood","Gómez","3:33","D",20068,0.15,"++++",NA,2016
120,"Tuesday Aug 16","boxscore","PHI","","LAD","L",5,15,NA,"56-64",4,"15","Maeda","Velasquez","","3:30","N",28118,0.17,"-",NA,2016
121,"Wednesday Aug 17","boxscore","PHI","","LAD","L",2,7,NA,"56-65",4,"15","Kazmir","Thompson","","3:23","N",21137,0.1,"--",NA,2016
122,"Thursday Aug 18","boxscore","PHI","","LAD","W",5,4,NA,"57-65",4,"15","Mariot","Dayton","Gómez","2:54","N",29187,0.07,"+",NA,2016
123,"Friday Aug 19","boxscore","PHI","","STL","L",3,4,11,"57-66",4,"16","Oh","Herrmann","Reyes","3:54","N",20627,0.11,"-",NA,2016
124,"Saturday Aug 20","boxscore","PHI","","STL","W",4,2,NA,"58-66",4,"16","Hellickson","Weaver","Gómez","2:56","N",32288,0.06,"+",NA,2016
125,"Sunday Aug 21","boxscore","PHI","","STL","L",0,9,NA,"58-67",4,"16","Leake","Velasquez","","3:07","D",20127,0.09,"-",NA,2016
126,"Tuesday Aug 23","boxscore","PHI","@","CHW","L",1,9,NA,"58-68",4,"15.5","Rodón","Thompson","","2:38","N",18843,0.04,"--",NA,2016
127,"Wednesday Aug 24","boxscore","PHI","@","CHW","W",5,3,NA,"59-68",4,"14.5","Eickhoff","Shields","Gómez","2:44","N",15630,0.04,"+",NA,2016
128,"Friday Aug 26","boxscore","PHI","@","NYM","L",4,9,NA,"59-69",4,"16","Colón","Morgan","","2:56","N",31111,0.06,"-",NA,2016
129,"Saturday Aug 27","boxscore","PHI","@","NYM","L",1,12,NA,"59-70",4,"16","Syndergaard","Hellickson","","3:07","N",35832,0.03,"--",NA,2016
130,"Sunday Aug 28","boxscore","PHI","@","NYM","W",5,1,NA,"60-70",4,"15","Hernandez","Gsellman","","3:08","D",32033,0.02,"+",NA,2016
131,"Monday Aug 29","boxscore","PHI","","WSN","L",0,4,NA,"60-71",4,"16","Roark","Thompson","","2:58","N",16056,0.03,"-",NA,2016
132,"Tuesday Aug 30","boxscore","PHI","","WSN","L",2,3,NA,"60-72",4,"17","Scherzer","Eickhoff","Melancon","2:42","N",16378,0.02,"--",NA,2016
133,"Wednesday Aug 31","boxscore","PHI","","WSN","L",1,2,NA,"60-73",4,"18","Gonzalez","Morgan","Kelley","2:50","N",16503,0.01,"---",NA,2016
134,"Friday Sep 2","boxscore","PHI","","ATL","L",4,8,NA,"60-74",4,"19","Cabrera","Gómez","","3:28","N",17175,0.01,"----",NA,2016
135,"Saturday Sep 3","boxscore","PHI","","ATL","L",4,6,10,"60-75",4,"19","Bradley","Ramos","Cabrera","3:27","N",19453,0,"-----",NA,2016
136,"Sunday Sep 4","boxscore","PHI","","ATL","L",0,2,NA,"60-76",4,"19","Teheran","Thompson","Johnson","3:14","D",21322,0,"------",NA,2016
137,"Monday Sep 5","boxscore","PHI","@","MIA","W",6,2,NA,"61-76",4,"19","Eickhoff","Esch","","2:54","D",20849,0,"+",NA,2016
138,"Tuesday Sep 6","boxscore","PHI","@","MIA","W",4,3,NA,"62-76",4,"19","Morgan","Ureña","Gómez","3:00","N",16169,0,"++",NA,2016
139,"Wednesday Sep 7","boxscore","PHI","@","MIA","L",0,6,NA,"62-77",4,"20","Cashner","Hellickson","","2:52","N",16592,0,"-",NA,2016
140,"Thursday Sep 8","boxscore","PHI","@","WSN","W",4,1,NA,"63-77",4,"19","Asher","Cole","Gómez","2:48","N",25412,0,"+",NA,2016
141,"Friday Sep 9","boxscore","PHI","@","WSN","L-wo",4,5,NA,"63-78",4,"20","Melancon","Herrmann","","3:31","N",28469,0,"-",NA,2016
142,"Saturday Sep 10","boxscore","PHI","@","WSN","L",0,3,NA,"63-79",4,"21","Kelley","García","Melancon","3:05","N",36152,0,"--",NA,2016
143,"Sunday Sep 11","boxscore","PHI","@","WSN","L",2,3,NA,"63-80",4,"22","Gonzalez","Morgan","Melancon","2:49","D",31805,0,"---",NA,2016
144,"Monday Sep 12","boxscore","PHI","","PIT","W",6,2,NA,"64-80",4,"22","Hellickson","Cole","","3:18","N",15514,0,"+",NA,2016
145,"Tuesday Sep 13","boxscore","PHI","","PIT","L",3,5,NA,"64-81",4,"22","Vazquez","Gómez","Watson","3:12","N",16190,0,"-",NA,2016
146,"Wednesday Sep 14","boxscore","PHI","","PIT","W",6,2,NA,"65-81",4,"22","Thompson","Brault","Gómez","2:57","N",16112,0,"+",NA,2016
147,"Thursday Sep 15","boxscore","PHI","","PIT","L",2,15,NA,"65-82",4,"22.5","Kuhl","Eickhoff","","2:54","N",15247,0,"-",NA,2016
148,"Friday Sep 16","boxscore","PHI","","MIA","W-wo",4,3,13,"66-82",4,"22.5","Herrmann","Ramos","","4:43","N",18179,0,"+",NA,2016
149,"Saturday Sep 17","boxscore","PHI","","MIA","W",8,0,NA,"67-82",4,"21.5","Hellickson","Ureña","","2:42","N",24597,0,"++",NA,2016
150,"Sunday Sep 18","boxscore","PHI","","MIA","L",4,5,NA,"67-83",4,"21.5","Dunn","Neris","Ramos","3:16","D",20059,0,"-",NA,2016
151,"Tuesday Sep 20","boxscore","PHI","","CHW","W",7,6,NA,"68-83",4,"20","Thompson","Shields","Mariot","3:20","N",16096,0,"+",NA,2016
152,"Wednesday Sep 21","boxscore","PHI","","CHW","W",8,3,NA,"69-83",4,"20","Eickhoff","Sale","","2:43","N",21703,0,"++",NA,2016
153,"Thursday Sep 22","boxscore","PHI","@","NYM","L-wo",8,9,11,"69-84",4,"20.5","Henderson","Ramos","","4:23","N",35759,0,"-",NA,2016
154,"Friday Sep 23","boxscore","PHI","@","NYM","L",5,10,NA,"69-85",4,"20.5","Smoker","Hellickson","Robles","3:40","N",37873,0,"--",NA,2016
155,"Saturday Sep 24","boxscore","PHI","@","NYM","W",10,8,NA,"70-85",4,"20.5","Asher","Gilmartin","Mariot","3:47","N",39995,0,"+",NA,2016
156,"Sunday Sep 25","boxscore","PHI","@","NYM","L",0,17,NA,"70-86",4,"21.5","Gsellman","Thompson","","3:32","D",35093,0,"-",NA,2016
157,"Tuesday Sep 27","boxscore","PHI","@","ATL","L",6,7,NA,"70-87",4,"22","Cabrera","Hernandez","Johnson","3:02","N",22348,0,"--",NA,2016
158,"Wednesday Sep 28","boxscore","PHI","@","ATL","L",2,12,NA,"70-88",4,"22","Foltynewicz","Morgan","","2:45","N",22104,0,"---",NA,2016
159,"Thursday Sep 29","boxscore","PHI","@","ATL","L",2,5,NA,"70-89",4,"23","Cabrera","Gómez","","3:18","N",32121,0,"----",NA,2016
160,"Friday Sep 30","boxscore","PHI","","NYM","L",1,5,NA,"70-90",4,"23","Gsellman","Asher","","2:53","N",20556,0,"-----",NA,2016
161,"Saturday Oct 1","boxscore","PHI","","NYM","L",3,5,NA,"70-91",4,"24","Colón","Schuster","Familia","3:01","D",20225,0,"------",NA,2016
162,"Sunday Oct 2","boxscore","PHI","","NYM","W",5,2,NA,"71-91",4,"24","Murray","Goeddel","Neris","2:39","D",36935,0,"+",NA,2016
1,"Monday Apr 3","boxscore","PHI","@","CIN","W",4,3,NA,"1-0",1,"Tied","Hellickson","Feldman","Gómez","3:04","D",43804,0.99,"+","",2017
2,"Wednesday Apr 5","boxscore","PHI","@","CIN","L",0,2,NA,"1-1",2,"1.0","Finnegan","Eickhoff","Iglesias","2:25","N",19944,0.99,"-","",2017
3,"Thursday Apr 6","boxscore","PHI","@","CIN","L",4,7,NA,"1-2",3,"1.0","Reed","Morgan","Storen","3:05","D",10586,0.95,"--","",2017
4,"Friday Apr 7","boxscore","PHI","","WSN","L",6,7,NA,"1-3",4,"2.0","Scherzer","Velasquez","Treinen","3:34","D",45121,1.05,"---","",2017
5,"Saturday Apr 8","boxscore","PHI","","WSN","W",17,3,NA,"2-3",3,"1.0","Nola","Guthrie","","3:15","N",37241,1.01,"+","",2017
6,"Sunday Apr 9","boxscore","PHI","","WSN","W-wo",4,3,NA,"3-3",1,"Tied","Gómez","Glover","","3:24","D",36917,1.08,"++","",2017
7,"Monday Apr 10","boxscore","PHI","","NYM","L",3,4,NA,"3-4",4,"1.0","Blevins","Ramos","Reed","2:59","N",33359,1.13,"-","",2017
8,"Tuesday Apr 11","boxscore","PHI","","NYM","L",4,14,NA,"3-5",4,"2.0","Harvey","Buchholz","","3:38","N",28659,1.05,"--","",2017
9,"Wednesday Apr 12","boxscore","PHI","","NYM","L",4,5,NA,"3-6",4,"3.0","Wheeler","Velasquez","Reed","3:13","N",28272,0.97,"---","",2017
10,"Friday Apr 14","boxscore","PHI","@","WSN","L-wo",2,3,10,"3-7",5,"3.5","Kelley","Gómez","","3:18","D",38664,0.94,"----","",2017
11,"Saturday Apr 15","boxscore","PHI","@","WSN","W",4,2,NA,"4-7",5,"2.5","Hellickson","Blanton","Benoit","2:39","D",35626,0.86,"+","",2017
12,"Sunday Apr 16","boxscore","PHI","@","WSN","L-wo",4,6,NA,"4-8",5,"3.0","Kelley","Benoit","","3:11","D",29774,0.93,"-","",2017
13,"Tuesday Apr 18","boxscore","PHI","@","NYM","W",6,2,10,"5-8",5,"3.0","García","Montero","","3:58","N",23536,0.86,"+","",2017
14,"Wednesday Apr 19","boxscore","PHI","@","NYM","L",4,5,NA,"5-9",5,"4.0","Robles","Ramos","Reed","2:37","N",22243,0.91,"-","",2017
15,"Thursday Apr 20","boxscore","PHI","@","NYM","W",6,4,NA,"6-9",4,"4.0","Nola","Syndergaard","Neris","3:14","N",24656,0.9,"+","",2017
16,"Friday Apr 21","boxscore","PHI","","ATL","W",4,3,NA,"7-9",4,"4.0","Hellickson","Colón","Neris","2:38","N",24189,0.89,"++","",2017
17,"Saturday Apr 22","boxscore","PHI","","ATL","W-wo",4,3,10,"8-9",3,"4.0","Gómez","Johnson","","3:32","N",31334,0.94,"+++","",2017
18,"Sunday Apr 23","boxscore","PHI","","ATL","W",5,2,NA,"9-9",3,"4.0","Rodríguez","Vizcaíno","","2:38","D",28632,1,"++++","",2017
19,"Wednesday Apr 26","boxscore","PHI","","MIA","W",7,4,NA,"10-9",2,"4.0","Velasquez","Chen","","2:41","N",26191,1.1,"+++++","",2017
20,"Thursday Apr 27","boxscore","PHI","","MIA","W",3,2,NA,"11-9",2,"4.0","Hellickson","Vólquez","Neris","3:15","D",22180,1.14,"++++++","",2017
21,"Friday Apr 28","boxscore","PHI","@","LAD","L",3,5,NA,"11-10",2,"4.0","Maeda","Eickhoff","Jansen","3:02","N",46729,1.04,"-","",2017
