Game,Date,Tm,Opp,W.L,R,RA,Rank_Standings,Game_Length,Day_Night,Attendance,CLI,Streak,Home,FullDate,Year,start_time_ET
65,6/13/2014,PHI,CHC,L,1,2,5,2:51,N,26154,0.52,-,0,Friday Jun 13 2014,2014,7:05 PM
66,6/14/2014,PHI,CHC,W,7,4,4,3:04,D,31524,0.44,+,0,Saturday Jun 14 2014,2014,3:05 PM
67,6/15/2014,PHI,CHC,L,0,3,5,2:35,D,41238,0.54,-,0,Sunday Jun 15 2014,2014,1:35 PM
68,6/16/2014,PHI,ATL,W,6,1,4,4:47,N,23900,0.53,+,1,Monday Jun 16 2014,2014,7:10 PM
69,6/17/2014,PHI,ATL,W,5,2,4,3:05,N,41631,0.67,++,1,Tuesday Jun 17 2014,2014,7:10 PM
70,6/18/2014,PHI,ATL,W,10,5,4,3:32,D,28500,0.72,+++,1,Wednesday Jun 18 2014,2014,12:10 PM
71,6/19/2014,PHI,STL,W,4,1,4,2:48,N,42106,0.71,++++,1,Thursday Jun 19 2014,2014,8:15 PM
72,6/20/2014,PHI,STL,W,5,1,4,2:48,N,44061,0.83,+++++,1,Friday Jun 20 2014,2014,8:15 PM
73,6/21/2014,PHI,STL,L,1,4,4,2:48,D,44789,0.92,-,1,Saturday Jun 21 2014,2014,4:10 PM
74,6/22/2014,PHI,STL,L,3,5,4,2:54,D,43484,0.84,--,1,Sunday Jun 22 2014,2014,2:15 PM
75,6/23/2014,PHI,MIA,L,0,4,5,3:14,N,32161,0.84,---,0,Monday Jun 23 2014,2014,7:05 PM
76,6/24/2014,PHI,MIA,W,7,4,5,3:15,N,24860,0.71,+,0,Tuesday Jun 24 2014,2014,7:05 PM
77,6/25/2014,PHI,MIA,L,2,3,5,2:53,N,23360,0.78,-,0,Wednesday Jun 25 2014,2014,7:05 PM
78,6/26/2014,PHI,MIA,W-wo,5,3,4,4:41,N,34168,0.61,+,0,Thursday Jun 26 2014,2014,7:05 PM
79,6/27/2014,PHI,ATL,L,2,4,4,3:11,N,38100,0.77,-,0,Friday Jun 27 2014,2014,7:05 PM
80,6/28/2014,PHI,ATL,L,3,10,5,3:08,D,28845,0.72,--,0,Saturday Jun 28 (1) 2014,2014,2:05 PM
81,6/28/2014,PHI,ATL,L,1,5,5,3:09,N,30845,0.56,---,0,Saturday Jun 28 (2) 2014,2014,7:05 PM
82,6/29/2014,PHI,ATL,L,2,3,5,3:06,D,33215,0.48,----,0,Sunday Jun 29 2014,2014,1:35 PM
83,7/1/2014,PHI,MIA,L-wo,4,5,5,3:37,N,18518,0.3,-----,1,Tuesday Jul 1 2014,2014,7:10 PM
84,7/2/2014,PHI,MIA,L,0,5,5,3:11,N,20084,0.24,------,1,Wednesday Jul 2 2014,2014,7:10 PM
85,7/3/2014,PHI,MIA,W,5,4,4,3:12,N,24915,0.18,+,1,Thursday Jul 3 2014,2014,6:10 PM
86,7/4/2014,PHI,PIT,L,2,8,5,3:13,N,38977,0.23,-,1,Friday Jul 4 2014,2014,5:05 PM
87,7/5/2014,PHI,PIT,L,2,3,5,2:40,D,37821,0.18,--,1,Saturday Jul 5 2014,2014,4:05 PM
88,7/6/2014,PHI,PIT,L,2,6,5,2:43,D,33408,0.13,---,1,Sunday Jul 6 2014,2014,1:35 PM
89,7/7/2014,PHI,MIL,W,3,2,5,3:25,N,28080,0.09,+,1,Monday Jul 7 2014,2014,8:10 PM
90,7/8/2014,PHI,MIL,W,9,7,5,3:24,N,26126,0.12,++,1,Tuesday Jul 8 2014,2014,8:10 PM
91,7/9/2014,PHI,MIL,W,4,1,5,2:15,N,26480,0.16,+++,1,Wednesday Jul 9 2014,2014,8:10 PM
92,7/10/2014,PHI,MIL,W,9,1,5,3:06,D,36394,0.23,++++,1,Thursday Jul 10 2014,2014,2:10 PM
93,7/11/2014,PHI,WSN,W,6,2,5,2:44,N,30094,0.29,+++++,0,Friday Jul 11 2014,2014,7:05 PM
94,7/12/2014,PHI,WSN,L,3,5,5,4:03,N,32072,0.41,-,0,Saturday Jul 12 2014,2014,7:15 PM
95,7/13/2014,PHI,WSN,L,3,10,5,3:03,D,30185,0.28,--,0,Sunday Jul 13 2014,2014,1:35 PM
96,7/18/2014,PHI,ATL,L,4,6,5,2:45,N,39747,0.19,---,1,Friday Jul 18 2014,2014,7:35 PM
97,7/19/2014,PHI,ATL,W,2,1,5,2:57,N,38602,0.15,+,1,Saturday Jul 19 2014,2014,7:10 PM
98,7/20/2014,PHI,ATL,L,2,8,5,2:44,D,24859,0.2,-,1,Sunday Jul 20 2014,2014,1:35 PM
99,7/21/2014,PHI,SFG,L,4,7,5,3:28,N,27334,0.11,--,0,Monday Jul 21 2014,2014,7:05 PM
100,7/22/2014,PHI,SFG,L,6,9,5,5:46,N,30109,0.09,---,0,Tuesday Jul 22 2014,2014,7:05 PM
101,7/23/2014,PHI,SFG,L,1,3,5,3:02,N,28648,0.05,----,0,Wednesday Jul 23 2014,2014,7:05 PM
102,7/24/2014,PHI,SFG,W,2,1,5,2:46,D,33258,0.05,+,0,Thursday Jul 24 2014,2014,1:05 PM
103,7/25/2014,PHI,ARI,W,9,5,5,3:23,N,25698,0.05,++,0,Friday Jul 25 2014,2014,7:05 PM
104,7/26/2014,PHI,ARI,L,6,10,5,4:20,N,29097,0.06,-,0,Saturday Jul 26 2014,2014,7:05 PM
105,7/27/2014,PHI,ARI,W,4,2,5,2:30,D,31514,0.05,+,0,Sunday Jul 27 2014,2014,1:35 PM
106,7/28/2014,PHI,NYM,L,1,7,5,2:54,N,26525,0.06,-,1,Monday Jul 28 2014,2014,7:10 PM
107,7/29/2014,PHI,NYM,W,6,0,5,2:36,N,27069,0.04,+,1,Tuesday Jul 29 2014,2014,7:10 PM
108,7/30/2014,PHI,NYM,L,2,11,5,3:28,D,37647,0.07,-,1,Wednesday Jul 30 2014,2014,12:10 PM
109,7/31/2014,PHI,WSN,W,10,4,5,3:31,N,35722,0.05,+,1,Thursday Jul 31 2014,2014,7:05 PM
110,8/1/2014,PHI,WSN,W,2,1,5,2:28,N,28410,0.08,++,1,Friday Aug 1 2014,2014,7:05 PM
111,8/2/2014,PHI,WSN,L,0,11,5,3:19,N,36155,0.11,-,1,Saturday Aug 2 2014,2014,7:05 PM
112,8/3/2014,PHI,WSN,L,0,4,5,2:47,D,30038,0.09,--,1,Sunday Aug 3 2014,2014,1:35 PM
113,8/5/2014,PHI,HOU,W-wo,2,1,5,5:05,N,28336,0.05,+,0,Tuesday Aug 5 2014,2014,7:05 PM
114,8/6/2014,PHI,HOU,W,10,3,5,2:45,N,26691,0.07,++,0,Wednesday Aug 6 2014,2014,7:05 PM
115,8/7/2014,PHI,HOU,W,6,5,5,2:47,N,26609,0.08,+++,0,Thursday Aug 7 2014,2014,7:05 PM
116,8/8/2014,PHI,NYM,L,4,5,5,2:51,N,32307,0.09,-,0,Friday Aug 8 2014,2014,7:05 PM
117,8/9/2014,PHI,NYM,L,1,2,5,3:41,N,39153,0.06,--,0,Saturday Aug 9 2014,2014,7:05 PM
118,8/10/2014,PHI,NYM,W-wo,7,6,5,3:14,D,31061,0.05,+,0,Sunday Aug 10 2014,2014,1:35 PM
119,8/11/2014,PHI,NYM,L,3,5,5,2:48,D,26076,0.08,-,0,Monday Aug 11 2014,2014,1:05 PM
120,8/12/2014,PHI,LAA,L,2,7,5,2:56,N,37296,0.04,--,1,Tuesday Aug 12 2014,2014,10:05 PM
121,8/13/2014,PHI,LAA,L,3,4,5,2:51,N,38802,0.02,---,1,Wednesday Aug 13 2014,2014,10:05 PM
122,8/15/2014,PHI,SFG,W,5,3,5,3:36,N,41425,0.02,+,1,Friday Aug 15 2014,2014,10:15 PM
123,8/16/2014,PHI,SFG,L,5,6,5,3:34,D,41907,0.02,-,1,Saturday Aug 16 2014,2014,4:05 PM
124,8/17/2014,PHI,SFG,L,2,5,5,2:57,D,41851,0.01,--,1,Sunday Aug 17 2014,2014,4:05 PM
125,8/18/2014,PHI,SEA,W,4,1,5,2:52,N,28102,0,+,0,Monday Aug 18 2014,2014,7:05 PM
126,8/19/2014,PHI,SEA,L,2,5,5,3:06,N,31592,0.01,-,0,Tuesday Aug 19 2014,2014,7:05 PM
127,8/20/2014,PHI,SEA,W,4,3,5,3:00,D,25157,0,+,0,Wednesday Aug 20 2014,2014,1:05 PM
128,8/22/2014,PHI,STL,W,5,4,5,2:48,N,28366,0,++,0,Friday Aug 22 2014,2014,7:05 PM
129,8/23/2014,PHI,STL,L,5,6,5,4:53,N,30352,0.01,-,0,Saturday Aug 23 2014,2014,7:05 PM
130,8/24/2014,PHI,STL,W,7,1,5,2:33,D,30580,0,+,0,Sunday Aug 24 2014,2014,1:35 PM
131,8/25/2014,PHI,WSN,W,3,2,5,2:46,N,23089,0,++,0,Monday Aug 25 2014,2014,7:05 PM
132,8/26/2014,PHI,WSN,W,4,3,5,2:24,N,25238,0,+++,0,Tuesday Aug 26 2014,2014,7:05 PM
133,8/27/2014,PHI,WSN,W,8,4,5,3:04,N,33183,0.01,++++,0,Wednesday Aug 27 2014,2014,7:05 PM
134,8/29/2014,PHI,NYM,L,1,4,5,2:31,N,25250,0.01,-,1,Friday Aug 29 2014,2014,7:10 PM
135,8/30/2014,PHI,NYM,W,7,2,5,2:58,N,28053,0,+,1,Saturday Aug 30 2014,2014,7:10 PM
136,8/31/2014,PHI,NYM,L,5,6,5,3:14,D,27159,0.01,-,1,Sunday Aug 31 2014,2014,1:10 PM
137,9/1/2014,PHI,ATL,W,7,0,5,3:10,D,34178,0,+,1,Monday Sep 1 2014,2014,1:10 PM
138,9/2/2014,PHI,ATL,W,4,0,5,2:57,N,19444,0,++,1,Tuesday Sep 2 2014,2014,7:10 PM
139,9/3/2014,PHI,ATL,L,4,7,5,3:08,D,19724,0.01,-,1,Wednesday Sep 3 2014,2014,12:10 PM
140,9/5/2014,PHI,WSN,W,9,8,5,4:32,N,27437,0,+,1,Friday Sep 5 2014,2014,7:05 PM
141,9/6/2014,PHI,WSN,W,3,1,5,2:33,D,37408,0.01,++,1,Saturday Sep 6 2014,2014,4:05 PM
142,9/7/2014,PHI,WSN,L,2,3,5,3:20,D,29108,0.01,-,1,Sunday Sep 7 2014,2014,1:35 PM
143,9/8/2014,PHI,PIT,L,4,6,5,3:08,N,23140,0.01,--,0,Monday Sep 8 2014,2014,7:05 PM
144,9/9/2014,PHI,PIT,W,4,3,5,2:56,N,26900,0,+,0,Tuesday Sep 9 2014,2014,7:05 PM
145,9/10/2014,PHI,PIT,L,3,6,5,3:08,N,25315,0.01,-,0,Wednesday Sep 10 2014,2014,7:05 PM
146,9/11/2014,PHI,PIT,L,1,4,5,3:09,N,26535,0,--,0,Thursday Sep 11 2014,2014,7:05 PM
147,9/12/2014,PHI,MIA,W-wo,3,1,5,3:02,N,27039,0,+,0,Friday Sep 12 2014,2014,7:05 PM
148,9/13/2014,PHI,MIA,W,2,1,5,2:33,N,26163,0,++,0,Saturday Sep 13 2014,2014,7:05 PM
149,9/14/2014,PHI,MIA,L,4,5,5,3:20,D,30201,0,-,0,Sunday Sep 14 2014,2014,1:35 PM
150,9/15/2014,PHI,SDP,L,0,1,5,2:09,N,17558,0,--,1,Monday Sep 15 2014,2014,10:10 PM
151,9/16/2014,PHI,SDP,L,4,5,5,3:11,N,24541,0,---,1,Tuesday Sep 16 2014,2014,10:10 PM
152,9/17/2014,PHI,SDP,W,5,2,5,2:50,N,17311,0,+,1,Wednesday Sep 17 2014,2014,10:10 PM
153,9/18/2014,PHI,SDP,L,3,7,5,3:02,N,18076,0,-,1,Thursday Sep 18 2014,2014,9:10 PM
154,9/19/2014,PHI,OAK,L,1,3,5,2:56,N,35067,0,--,1,Friday Sep 19 2014,2014,9:35 PM
155,9/20/2014,PHI,OAK,W,3,0,5,2:59,D,31848,0,+,1,Saturday Sep 20 2014,2014,4:05 PM
156,9/21/2014,PHI,OAK,L-wo,6,8,5,3:48,D,25126,0,-,1,Sunday Sep 21 2014,2014,4:05 PM
157,9/23/2014,PHI,MIA,L,0,2,5,2:20,N,18969,0,--,1,Tuesday Sep 23 2014,2014,7:10 PM
158,9/24/2014,PHI,MIA,W,2,1,5,2:54,N,22491,0,+,1,Wednesday Sep 24 2014,2014,7:10 PM
159,9/25/2014,PHI,MIA,L,4,6,5,3:01,D,24259,0,-,1,Thursday Sep 25 2014,2014,4:10 PM
160,9/26/2014,PHI,ATL,W,5,4,5,2:41,N,33121,0,+,0,Friday Sep 26 2014,2014,7:05 PM
161,9/27/2014,PHI,ATL,L,2,4,5,3:05,N,33761,0,-,0,Saturday Sep 27 2014,2014,7:05 PM
162,9/28/2014,PHI,ATL,L,1,2,5,2:18,D,38082,0,--,0,Sunday Sep 28 2014,2014,1:35 PM
1,4/6/2015,PHI,BOS,L,0,8,3,3:01,D,45549,0.88,-,0,Monday Apr 6 2015,2015,3:05 PM
2,4/8/2015,PHI,BOS,W,4,2,2,2:54,N,26465,0.88,+,0,Wednesday Apr 8 2015,2015,7:05 PM
3,4/9/2015,PHI,BOS,L,2,6,3,3:08,N,23418,0.89,-,0,Thursday Apr 9 2015,2015,7:05 PM
4,4/10/2015,PHI,WSN,W,4,1,2,2:30,N,19047,1.01,+,0,Friday Apr 10 2015,2015,7:05 PM
5,4/11/2015,PHI,WSN,W-wo,3,2,2,3:25,N,23740,1.02,++,0,Saturday Apr 11 2015,2015,7:05 PM
6,4/12/2015,PHI,WSN,L,3,4,2,3:19,D,30094,1.05,-,0,Sunday Apr 12 2015,2015,1:35 PM
7,4/13/2015,PHI,NYM,L,0,2,3,2:53,D,43947,1.1,--,1,Monday Apr 13 2015,2015,1:10 PM
8,4/14/2015,PHI,NYM,L,5,6,3,3:12,N,39489,1.06,---,1,Tuesday Apr 14 2015,2015,7:10 PM
9,4/15/2015,PHI,NYM,L,1,6,3,2:36,N,21052,1,----,1,Wednesday Apr 15 2015,2015,7:10 PM
10,4/16/2015,PHI,WSN,L,2,5,4,2:16,N,24768,0.89,-----,1,Thursday Apr 16 2015,2015,7:05 PM
11,4/17/2015,PHI,WSN,L,2,7,4,2:38,N,31608,0.84,------,1,Friday Apr 17 2015,2015,7:05 PM
12,4/18/2015,PHI,WSN,W,5,3,4,2:56,D,35330,0.77,+,1,Saturday Apr 18 2015,2015,1:05 PM
13,4/19/2015,PHI,WSN,L,1,4,4,2:40,D,36631,0.85,-,1,Sunday Apr 19 2015,2015,1:35 PM
14,4/21/2015,PHI,MIA,W,7,3,4,2:29,N,21993,0.74,+,0,Tuesday Apr 21 2015,2015,7:05 PM
15,4/22/2015,PHI,MIA,L,1,6,4,2:55,N,23417,0.78,-,0,Wednesday Apr 22 2015,2015,7:05 PM
16,4/23/2015,PHI,MIA,L,1,9,4,2:52,D,17097,0.66,--,0,Thursday Apr 23 2015,2015,1:05 PM
17,4/24/2015,PHI,ATL,W-wo,1,0,4,2:34,N,21164,0.73,+,0,Friday Apr 24 2015,2015,7:05 PM
18,4/25/2015,PHI,ATL,L,2,5,5,2:27,N,24748,0.75,-,0,Saturday Apr 25 2015,2015,7:05 PM
19,4/26/2015,PHI,ATL,W,5,4,4,2:38,D,28702,0.67,+,0,Sunday Apr 26 2015,2015,1:35 PM
20,4/27/2015,PHI,STL,W,4,1,3,2:32,N,40052,0.7,++,1,Monday Apr 27 2015,2015,8:15 PM
21,4/28/2015,PHI,STL,L,5,11,4,2:58,N,40143,0.72,-,1,Tuesday Apr 28 2015,2015,8:15 PM
22,4/29/2015,PHI,STL,L,2,5,5,2:38,N,40399,0.67,--,1,Wednesday Apr 29 2015,2015,8:15 PM
23,4/30/2015,PHI,STL,L,3,9,5,2:55,D,40715,0.65,---,1,Thursday Apr 30 2015,2015,1:45 PM
24,5/1/2015,PHI,MIA,L-wo,3,4,5,2:57,N,18511,0.65,----,1,Friday May 1 2015,2015,7:10 PM
25,5/2/2015,PHI,MIA,L,0,7,5,2:38,D,33348,0.63,-----,1,Saturday May 2 2015,2015,4:10 PM
26,5/3/2015,PHI,MIA,W,6,2,5,2:45,D,20461,0.57,+,1,Sunday May 3 2015,2015,1:10 PM
27,5/4/2015,PHI,ATL,W,5,2,5,3:08,N,17293,0.64,++,1,Monday May 4 2015,2015,7:10 PM
28,5/5/2015,PHI,ATL,L,0,9,5,2:23,N,14451,0.72,-,1,Tuesday May 5 2015,2015,7:10 PM
29,5/6/2015,PHI,ATL,L,5,7,5,3:07,N,17772,0.62,--,1,Wednesday May 6 2015,2015,7:10 PM
30,5/8/2015,PHI,NYM,W,3,1,5,2:27,N,32734,0.59,+,0,Friday May 8 2015,2015,7:05 PM
