,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,Season
5,Sun,October 7,4:25PM ET,boxscore,L,,2-3,,Minnesota Vikings,21,23,21,364,283,81,2,19,375,298,77,1,-1.97,-4.35,3.83,2018
6,Thu,October 11,8:20PM ET,boxscore,W,,3-3,@,New York Giants,34,13,23,379,271,108,,17,401,254,147,1,16.39,1.39,-2.22,2018
7,Sun,October 21,1:00PM ET,boxscore,L,,3-4,,Carolina Panthers,17,21,21,342,284,58,1,19,371,250,121,,8.65,-16.68,2.41,2018
8,Sun,October 28,9:30AM ET,boxscore,W,,4-4,@,Jacksonville Jaguars,24,18,22,395,262,133,2,16,335,265,70,1,10.42,2.83,-5.64,2018
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,,2018
10,Sun,November 11,8:20PM ET,boxscore,L,,4-5,,Dallas Cowboys,20,27,23,421,350,71,1,23,410,239,171,,3.87,-11.95,5.2,2018
11,Sun,November 18,4:25PM ET,boxscore,L,,4-6,@,New Orleans Saints,7,48,13,196,138,58,3,28,546,373,173,,-11.41,-35.64,4.02,2018
12,Sun,November 25,1:00PM ET,boxscore,W,,5-6,,New York Giants,25,22,19,341,214,127,,18,402,276,126,1,11.2,-6.46,-1.03,2018
13,Mon,December 3,8:15PM ET,boxscore,W,,6-6,,Washington Redskins,28,13,28,436,306,130,1,10,235,131,104,1,11.31,7.51,-4.67,2018
14,Sun,December 9,4:25PM ET,boxscore,L,OT,6-7,@,Dallas Cowboys,23,29,16,256,222,34,1,32,576,434,142,3,0.29,-9.25,2.96,2018
15,Sun,December 16,8:20PM ET,boxscore,W,,7-7,@,Los Angeles Rams,30,23,17,381,270,111,1,23,407,325,82,3,1.68,-1.52,3.79,2018
16,Sun,December 23,1:00PM ET,boxscore,W,,8-7,,Houston Texans,32,30,25,519,462,57,3,25,371,309,62,1,15.67,-10.43,-0.98,2018
17,Sun,December 30,4:25PM ET,boxscore,W,,9-7,@,Washington Redskins,24,0,25,360,231,129,1,8,89,68,21,1,12.25,20.41,-7.8,2018
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,,2018
Wild Card,Sun,January 6,4:40PM ET,boxscore,W,,10-7,@,Chicago Bears,16,15,21,300,258,42,2,17,356,291,65,,2.5,-5.47,10.43,2018
Division,Sun,January 13,4:40PM ET,boxscore,L,,10-8,@,New Orleans Saints,14,20,15,250,201,49,2,25,420,283,137,1,0.41,-10.9,3.17,2018
