Game,Date,Start (ET),HomeAway,Opponent,WinLoss,OT,Tm,Opp,W,L,Streak,Attend.,LOG
49,2/2/2017,8:30p,@,San Antonio Spurs,L,,86,102,18,31,L 2,18418,2:12:00 AM
50,2/4/2017,7:30p,@,Miami Heat,L,,102,125,18,32,L 3,19754,2:15:00 AM
51,2/6/2017,7:30p,@,Detroit Pistons,L,,96,113,18,33,L 4,14731,2:05:00 AM
52,2/8/2017,7:00p,,San Antonio Spurs,L,,103,111,18,34,L 5,19233,2:17:00 AM
53,2/9/2017,7:00p,@,Orlando Magic,W,,112,111,19,34,W 1,17829,2:28:00 AM
54,2/11/2017,7:30p,,Miami Heat,W,,117,109,20,34,W 2,20698,2:26:00 AM
55,2/13/2017,7:00p,@,Charlotte Hornets,W,,105,99,21,34,W 3,15775,2:18:00 AM
56,2/15/2017,7:30p,@,Boston Celtics,L,,108,116,21,35,L 1,18624,2:16:00 AM
57,2/24/2017,7:00p,,Washington Wizards,W,,120,112,22,35,W 1,19277,2:29:00 AM
58,2/25/2017,7:30p,@,New York Knicks,L,,109,110,22,36,L 1,19812,2:23:00 AM
59,2/27/2017,7:00p,,Golden State Warriors,L,,108,119,22,37,L 2,20585,2:23:00 AM
60,3/1/2017,7:30p,@,Miami Heat,L,,98,125,22,38,L 3,19609,2:05:00 AM
61,3/3/2017,7:00p,,New York Knicks,W,,105,102,23,38,W 1,18518,2:28:00 AM
62,3/4/2017,6:00p,,Detroit Pistons,L,,106,136,23,39,L 1,19523,2:04:00 AM
63,3/6/2017,7:00p,,Milwaukee Bucks,L,,98,112,23,40,L 2,18351,2:06:00 AM
64,3/9/2017,10:00p,@,Portland Trail Blazers,L,OT,108,114,23,41,L 3,19240,2:37:00 AM
65,3/11/2017,3:30p,@,Los Angeles Clippers,L,,100,112,23,42,L 4,19060,2:14:00 AM
66,3/12/2017,9:30p,@,Los Angeles Lakers,W,,118,116,24,42,W 1,18997,2:27:00 AM
67,3/14/2017,10:30p,@,Golden State Warriors,L,,104,106,24,43,L 1,19596,2:24:00 AM
68,3/17/2017,7:00p,,Dallas Mavericks,W,,116,74,25,43,W 1,17642,2:18:00 AM
69,3/19/2017,1:00p,,Boston Celtics,W,,105,99,26,43,W 2,19446,2:17:00 AM
70,3/20/2017,7:00p,@,Orlando Magic,L,OT,109,112,26,44,L 1,16236,2:48:00 AM
71,3/22/2017,8:00p,@,Oklahoma City Thunder,L,,97,122,26,45,L 2,18203,2:06:00 AM
72,3/24/2017,8:00p,@,Chicago Bulls,W,,117,107,27,45,W 1,21558,2:13:00 AM
73,3/26/2017,6:00p,@,Indiana Pacers,L,,94,107,27,46,L 1,16467,2:10:00 AM
74,3/28/2017,7:30p,@,Brooklyn Nets,W,,106,101,28,46,W 1,15471,2:16:00 AM
75,3/29/2017,7:00p,,Atlanta Hawks,L,,92,99,28,47,L 1,15212,2:17:00 AM
76,3/31/2017,7:30p,@,Cleveland Cavaliers,L,,105,122,28,48,L 2,20562,2:06:00 AM
77,4/2/2017,6:00p,@,Toronto Raptors,L,,105,113,28,49,L 3,19800,2:10:00 AM
78,4/4/2017,7:00p,,Brooklyn Nets,L,,118,141,28,50,L 4,14580,2:13:00 AM
79,4/6/2017,7:00p,,Chicago Bulls,L,,90,102,28,51,L 5,15177,2:03:00 AM
80,4/8/2017,7:00p,,Milwaukee Bucks,L,,82,90,28,52,L 6,16301,2:07:00 AM
81,4/10/2017,7:00p,,Indiana Pacers,L,,111,120,28,53,L 7,14622,2:19:00 AM
82,4/12/2017,8:00p,@,New York Knicks,L,,113,114,28,54,L 8,19812,2:12:00 AM
1,10/18/2017,7:00p,@,Washington Wizards,L,,115,120,0,1,L 1,20356,2:25:00 AM
2,10/20/2017,7:00p,,Boston Celtics,L,,92,102,0,2,L 2,20816,2:17:00 AM
3,10/21/2017,7:30p,@,Toronto Raptors,L,,94,128,0,3,L 3,19800,2:18:00 AM
4,10/23/2017,7:00p,@,Detroit Pistons,W,,97,86,1,3,W 1,13709,2:14:00 AM
5,10/25/2017,7:00p,,Houston Rockets,L,,104,105,1,4,L 1,20682,2:09:00 AM
6,10/28/2017,8:30p,@,Dallas Mavericks,W,,112,110,2,4,W 1,19567,2:09:00 AM
7,10/30/2017,8:00p,@,Houston Rockets,W,,115,107,3,4,W 2,16714,2:21:00 AM
8,11/1/2017,7:00p,,Atlanta Hawks,W,,119,109,4,4,W 3,20549,2:20:00 AM
9,11/3/2017,7:00p,,Indiana Pacers,W,,121,110,5,4,W 4,20668,2:17:00 AM
10,11/7/2017,9:00p,@,Utah Jazz,W,,104,97,6,4,W 5,16063,2:28:00 AM
11,11/9/2017,10:00p,@,Sacramento Kings,L,,108,109,6,5,L 1,17583,2:17:00 AM
12,11/11/2017,8:30p,@,Golden State Warriors,L,,114,135,6,6,L 2,19596,2:14:00 AM
13,11/13/2017,10:30p,@,Los Angeles Clippers,W,,109,105,7,6,W 1,19068,2:27:00 AM
14,11/15/2017,10:30p,@,Los Angeles Lakers,W,,115,109,8,6,W 2,18997,2:19:00 AM
15,11/18/2017,7:30p,,Golden State Warriors,L,,116,124,8,7,L 1,20848,2:14:00 AM
16,11/20/2017,7:00p,,Utah Jazz,W,,107,86,9,7,W 1,20587,2:12:00 AM
17,11/22/2017,7:00p,,Portland Trail Blazers,W,,101,81,10,7,W 2,20605,2:15:00 AM
18,11/25/2017,7:00p,,Orlando Magic,W,,130,111,11,7,W 3,20585,2:09:00 AM
19,11/27/2017,7:00p,,Cleveland Cavaliers,L,,91,113,11,8,L 1,20527,2:07:00 AM
20,11/29/2017,7:00p,,Washington Wizards,W,,118,113,12,8,W 1,20492,2:35:00 AM
21,11/30/2017,7:30p,@,Boston Celtics,L,,97,108,12,9,L 1,18624,2:13:00 AM
22,12/2/2017,7:30p,,Detroit Pistons,W,,108,103,13,9,W 1,20562,2:26:00 AM
23,12/4/2017,7:00p,,Phoenix Suns,L,,101,115,13,10,L 1,20564,2:07:00 AM
24,12/7/2017,8:00p,,Los Angeles Lakers,L,,104,107,13,11,L 2,20495,2:25:00 AM
25,12/9/2017,8:00p,@,Cleveland Cavaliers,L,,98,105,13,12,L 3,20562,2:13:00 AM
26,12/10/2017,7:00p,@,New Orleans Pelicans,L,,124,131,13,13,L 4,16878,2:23:00 AM
27,12/12/2017,9:30p,@,Minnesota Timberwolves,W,OT,118,112,14,13,W 1,14659,2:38:00 AM
28,12/15/2017,7:00p,,Oklahoma City Thunder,L,3OT,117,119,14,14,L 1,20612,3:03:00 AM
29,12/18/2017,8:00p,@,Chicago Bulls,L,,115,117,14,15,L 2,20796,2:10:00 AM
30,12/19/2017,7:00p,,Sacramento Kings,L,,95,101,14,16,L 3,20558,2:23:00 AM
31,12/21/2017,7:00p,,Toronto Raptors,L,,109,114,14,17,L 4,20680,2:20:00 AM
32,12/23/2017,5:00p,@,Toronto Raptors,L,,86,102,14,18,L 5,19800,2:17:00 AM
33,12/25/2017,12:00p,@,New York Knicks,W,,105,98,15,18,W 1,19812,2:27:00 AM
34,12/28/2017,10:30p,@,Portland Trail Blazers,L,,110,114,15,19,L 1,20104,2:35:00 AM
35,12/30/2017,9:00p,@,Denver Nuggets,W,,107,102,16,19,W 1,19599,2:18:00 AM
36,12/31/2017,8:00p,@,Phoenix Suns,W,,123,110,17,19,W 2,16983,2:24:00 AM
37,1/3/2018,7:00p,,San Antonio Spurs,W,,112,106,18,19,W 3,20642,2:17:00 AM
38,1/5/2018,7:00p,,Detroit Pistons,W,,114,78,19,19,W 4,20592,2:00:00 AM
39,1/11/2018,3:00p,,Boston Celtics,L,,103,114,19,20,L 1,19078,2:11:00 AM
40,1/15/2018,1:00p,,Toronto Raptors,W,,117,111,20,20,W 1,20637,2:35:00 AM
41,1/18/2018,7:00p,@,Boston Celtics,W,,89,80,21,20,W 2,18624,2:22:00 AM
42,1/20/2018,7:30p,,Milwaukee Bucks,W,,116,94,22,20,W 3,20826,2:10:00 AM
43,1/22/2018,8:00p,@,Memphis Grizzlies,L,,101,105,22,21,L 1,14288,2:28:00 AM
44,1/24/2018,7:00p,,Chicago Bulls,W,,115,101,23,21,W 1,20547,2:06:00 AM
45,1/26/2018,8:30p,@,San Antonio Spurs,W,,97,78,24,21,W 2,18418,2:03:00 AM
46,1/28/2018,6:00p,@,Oklahoma City Thunder,L,,112,122,24,22,L 1,18202,2:30:00 AM
47,1/29/2018,8:00p,@,Milwaukee Bucks,L,,95,107,24,23,L 2,14126,2:09:00 AM
48,1/31/2018,7:30p,@,Brooklyn Nets,L,,108,116,24,24,L 3,15577,2:13:00 AM
49,2/2/2018,8:00p,,Miami Heat,W,,103,97,25,24,W 1,20636,2:22:00 AM
50,2/3/2018,7:00p,@,Indiana Pacers,L,,92,100,25,25,L 1,17923,2:16:00 AM
51,2/6/2018,8:00p,,Washington Wizards,W,,115,102,26,25,W 1,20530,2:13:00 AM
52,2/9/2018,7:00p,,New Orleans Pelicans,W,,100,82,27,25,W 2,20489,2:00:00 AM
53,2/10/2018,7:00p,,Los Angeles Clippers,W,,112,98,28,25,W 3,20504,2:07:00 AM
54,2/12/2018,7:00p,,New York Knicks,W,,108,92,29,25,W 4,20589,2:18:00 AM
55,2/14/2018,7:00p,,Miami Heat,W,,104,102,30,25,W 5,20492,2:25:00 AM
56,2/22/2018,8:00p,@,Chicago Bulls,W,,116,115,31,25,W 6,21312,2:17:00 AM
57,2/24/2018,5:00p,,Orlando Magic,W,,116,105,32,25,W 7,20594,2:06:00 AM
58,2/25/2018,8:00p,@,Washington Wizards,L,,94,109,32,26,L 1,17180,2:19:00 AM
59,2/27/2018,7:30p,@,Miami Heat,L,,101,102,32,27,L 2,19600,2:26:00 AM
60,3/1/2018,8:00p,@,Cleveland Cavaliers,W,,108,97,33,27,W 1,20562,2:23:00 AM
61,3/2/2018,7:00p,,Charlotte Hornets,W,,110,99,34,27,W 2,20487,2:15:00 AM
62,3/4/2018,8:00p,@,Milwaukee Bucks,L,,110,118,34,28,L 1,15587,2:27:00 AM
63,3/6/2018,7:00p,@,Charlotte Hornets,W,,128,114,35,28,W 1,15600,2:11:00 AM
64,3/8/2018,7:30p,@,Miami Heat,L,,99,108,35,29,L 1,19600,2:14:00 AM
65,3/11/2018,7:30p,@,Brooklyn Nets,W,,120,97,36,29,W 1,16901,2:07:00 AM
66,3/13/2018,7:00p,,Indiana Pacers,L,,98,101,36,30,L 1,20531,2:26:00 AM
67,3/15/2018,7:30p,@,New York Knicks,W,,118,110,37,30,W 1,18894,2:15:00 AM
68,3/16/2018,7:00p,,Brooklyn Nets,W,,120,116,38,30,W 2,20666,2:21:00 AM
69,3/19/2018,7:00p,,Charlotte Hornets,W,,108,94,39,30,W 3,20530,2:06:00 AM
70,3/21/2018,7:00p,,Memphis Grizzlies,W,,119,105,40,30,W 4,10411,2:08:00 AM
71,3/22/2018,7:00p,@,Orlando Magic,W,,118,98,41,30,W 5,17881,2:05:00 AM
72,3/24/2018,6:00p,,Minnesota Timberwolves,W,,120,108,42,30,W 6,20668,2:24:00 AM
73,3/26/2018,7:00p,,Denver Nuggets,W,,123,104,43,30,W 7,20585,2:18:00 AM
74,3/28/2018,7:00p,,New York Knicks,W,,118,101,44,30,W 8,20655,2:19:00 AM
75,3/30/2018,7:30p,@,Atlanta Hawks,W,,101,91,45,30,W 9,16579,2:05:00 AM
76,4/1/2018,1:00p,@,Charlotte Hornets,W,,119,102,46,30,W 10,17005,2:12:00 AM
77,4/3/2018,7:00p,,Brooklyn Nets,W,,121,95,47,30,W 11,20710,2:09:00 AM
78,4/4/2018,7:00p,@,Detroit Pistons,W,,115,108,48,30,W 12,18395,2:11:00 AM
79,4/6/2018,7:00p,,Cleveland Cavaliers,W,,132,130,49,30,W 13,20769,2:26:00 AM
80,4/8/2018,1:00p,,Dallas Mavericks,W,,109,97,50,30,W 14,20846,2:02:00 AM
81,4/10/2018,7:30p,@,Atlanta Hawks,W,,121,113,51,30,W 15,15673,2:20:00 AM
82,4/11/2018,8:00p,,Milwaukee Bucks,W,,130,95,52,30,W 16,20659,2:07:00 AM
