Game,Date,Start (ET),HomeAway,Opponent,WinLoss,OT,Tm,Opp,W,L,Streak,Attend.,LOG
81,4/13/2015,7:00p,,Milwaukee Bucks,L,,97,107,18,63,L 9,10598,2:28:00 AM
82,4/15/2015,8:00p,,Miami Heat,L,,101,105,18,64,L 10,14476,2:19:00 AM
1,10/28/2015,7:30p,@,Boston Celtics,L,,95,112,0,1,L 1,18624,2:13:00 AM
2,10/30/2015,7:00p,,Utah Jazz,L,,71,99,0,2,L 2,17122,2:15:00 AM
3,11/2/2015,7:00p,,Cleveland Cavaliers,L,,100,107,0,3,L 3,18094,2:16:00 AM
4,11/4/2015,8:00p,@,Milwaukee Bucks,L,,87,91,0,4,L 4,12437,2:15:00 AM
5,11/6/2015,7:30p,@,Cleveland Cavaliers,L,,102,108,0,5,L 5,20562,2:08:00 AM
6,11/7/2015,7:00p,,Orlando Magic,L,,97,105,0,6,L 6,15207,2:25:00 AM
7,11/9/2015,7:00p,,Chicago Bulls,L,,88,111,0,7,L 7,13879,2:06:00 AM
8,11/11/2015,7:00p,,Toronto Raptors,L,,103,119,0,8,L 8,12744,2:10:00 AM
9,11/13/2015,8:00p,@,Oklahoma City Thunder,L,,85,102,0,9,L 9,18203,2:08:00 AM
10,11/14/2015,8:30p,@,San Antonio Spurs,L,,83,92,0,10,L 10,18418,2:06:00 AM
11,11/16/2015,7:00p,,Dallas Mavericks,L,,86,92,0,11,L 11,11555,2:22:00 AM
12,11/18/2015,7:00p,,Indiana Pacers,L,,85,112,0,12,L 12,11080,2:11:00 AM
13,11/20/2015,7:00p,@,Charlotte Hornets,L,,88,113,0,13,L 13,17926,2:07:00 AM
14,11/21/2015,8:00p,@,Miami Heat,L,,91,96,0,14,L 14,19673,2:34:00 AM
15,11/23/2015,8:00p,@,Minnesota Timberwolves,L,,95,100,0,15,L 15,11382,2:27:00 AM
16,11/25/2015,7:30p,@,Boston Celtics,L,,80,84,0,16,L 16,17588,2:13:00 AM
17,11/27/2015,8:00p,@,Houston Rockets,L,,114,116,0,17,L 17,17306,2:24:00 AM
18,11/29/2015,6:00p,@,Memphis Grizzlies,L,,84,92,0,18,L 18,15322,2:22:00 AM
19,12/1/2015,7:00p,,Los Angeles Lakers,W,,103,91,1,18,W 1,20510,2:18:00 AM
20,12/2/2015,7:30p,@,New York Knicks,L,,87,99,1,19,L 1,19812,2:12:00 AM
21,12/5/2015,1:00p,,Denver Nuggets,L,,105,108,1,20,L 2,15677,2:22:00 AM
22,12/7/2015,7:00p,,San Antonio Spurs,L,,68,119,1,21,L 3,14449,2:10:00 AM
23,12/10/2015,7:30p,@,Brooklyn Nets,L,,91,100,1,22,L 4,13266,2:20:00 AM
24,12/11/2015,7:00p,,Detroit Pistons,L,,95,107,1,23,L 5,17239,2:11:00 AM
25,12/13/2015,6:00p,@,Toronto Raptors,L,,76,96,1,24,L 6,19800,2:16:00 AM
26,12/14/2015,8:00p,@,Chicago Bulls,L,,96,115,1,25,L 7,21166,2:02:00 AM
27,12/16/2015,8:00p,@,Atlanta Hawks,L,,106,127,1,26,L 8,14827,2:21:00 AM
28,12/18/2015,7:00p,,New York Knicks,L,,97,107,1,27,L 9,17880,2:22:00 AM
29,12/20/2015,3:30p,@,Cleveland Cavaliers,L,,86,108,1,28,L 10,20562,2:14:00 AM
30,12/22/2015,7:00p,,Memphis Grizzlies,L,,90,104,1,29,L 11,15552,2:21:00 AM
31,12/23/2015,8:00p,@,Milwaukee Bucks,L,,100,113,1,30,L 12,15754,2:08:00 AM
32,12/26/2015,9:00p,@,Phoenix Suns,W,,111,104,2,30,W 1,17548,2:30:00 AM
33,12/28/2015,9:00p,@,Utah Jazz,L,,91,95,2,31,L 1,19911,2:29:00 AM
34,12/30/2015,10:00p,@,Sacramento Kings,W,,110,105,3,31,W 1,17317,2:26:00 AM
35,1/1/2016,10:30p,@,Los Angeles Lakers,L,,84,93,3,32,L 1,18997,2:14:00 AM
36,1/2/2016,10:30p,@,Los Angeles Clippers,L,,99,130,3,33,L 2,19212,2:05:00 AM
37,1/4/2016,7:00p,,Minnesota Timberwolves,W,,109,99,4,33,W 1,14013,2:19:00 AM
38,1/7/2016,7:00p,,Atlanta Hawks,L,,98,126,4,34,L 1,12611,2:09:00 AM
39,1/9/2016,7:30p,,Toronto Raptors,L,,95,108,4,35,L 2,14100,2:09:00 AM
40,1/10/2016,6:00p,,Cleveland Cavaliers,L,,85,95,4,36,L 3,19226,2:11:00 AM
41,1/14/2016,7:00p,,Chicago Bulls,L,OT,111,115,4,37,L 4,14063,2:39:00 AM
42,1/16/2016,7:30p,,Portland Trail Blazers,W,,114,89,5,37,W 1,15698,2:14:00 AM
43,1/18/2016,1:00p,@,New York Knicks,L,2OT,113,119,5,38,L 1,19812,2:59:00 AM
44,1/20/2016,7:00p,@,Orlando Magic,W,,96,87,6,38,W 1,17746,2:06:00 AM
45,1/24/2016,7:00p,,Boston Celtics,L,,92,112,6,39,L 1,9722,2:04:00 AM
46,1/26/2016,7:00p,,Phoenix Suns,W,,113,103,7,39,W 1,10851,2:18:00 AM
47,1/27/2016,7:30p,@,Detroit Pistons,L,,97,110,7,40,L 1,13712,2:25:00 AM
48,1/30/2016,5:00p,,Golden State Warriors,L,,105,108,7,41,L 2,20798,2:09:00 AM
49,2/3/2016,7:00p,,Atlanta Hawks,L,,86,124,7,42,L 3,10429,2:04:00 AM
50,2/5/2016,7:00p,@,Washington Wizards,L,,94,106,7,43,L 4,17305,2:09:00 AM
51,2/6/2016,7:30p,,Brooklyn Nets,W,,103,98,8,43,W 1,18847,2:20:00 AM
52,2/8/2016,7:00p,,Los Angeles Clippers,L,OT,92,98,8,44,L 1,13310,2:37:00 AM
53,2/10/2016,7:00p,,Sacramento Kings,L,,110,114,8,45,L 2,12501,2:17:00 AM
54,2/19/2016,8:00p,@,New Orleans Pelicans,L,,114,121,8,46,L 3,16953,2:27:00 AM
55,2/21/2016,7:00p,@,Dallas Mavericks,L,,103,129,8,47,L 4,20194,2:19:00 AM
56,2/23/2016,7:00p,,Orlando Magic,L,,115,124,8,48,L 5,13745,2:26:00 AM
57,2/24/2016,7:30p,@,Detroit Pistons,L,,91,111,8,49,L 6,13429,2:14:00 AM
58,2/26/2016,7:00p,,Washington Wizards,L,,94,103,8,50,L 7,16511,2:14:00 AM
59,2/28/2016,6:00p,@,Orlando Magic,L,,116,130,8,51,L 8,16168,2:20:00 AM
60,2/29/2016,7:00p,@,Washington Wizards,L,,108,116,8,52,L 9,15096,2:26:00 AM
61,3/2/2016,7:00p,,Charlotte Hornets,L,,99,119,8,53,L 10,11143,2:15:00 AM
62,3/4/2016,7:00p,,Miami Heat,L,,102,112,8,54,L 11,17610,2:16:00 AM
63,3/6/2016,6:00p,@,Miami Heat,L,,98,103,8,55,L 12,19820,2:19:00 AM
64,3/9/2016,7:00p,,Houston Rockets,L,,104,118,8,56,L 13,15237,2:34:00 AM
65,3/11/2016,7:00p,,Brooklyn Nets,W,,95,89,9,56,W 1,14128,2:12:00 AM
66,3/12/2016,7:00p,,Detroit Pistons,L,,111,125,9,57,L 1,16087,2:16:00 AM
67,3/15/2016,7:30p,@,Brooklyn Nets,L,,114,131,9,58,L 2,14560,2:14:00 AM
68,3/17/2016,7:00p,,Washington Wizards,L,,94,99,9,59,L 3,10521,2:18:00 AM
69,3/18/2016,7:00p,,Oklahoma City Thunder,L,,97,111,9,60,L 4,20388,2:10:00 AM
70,3/20/2016,6:00p,,Boston Celtics,L,,105,120,9,61,L 5,15103,2:14:00 AM
71,3/21/2016,7:00p,@,Indiana Pacers,L,,75,91,9,62,L 6,16155,2:06:00 AM
72,3/23/2016,9:00p,@,Denver Nuggets,L,,103,104,9,63,L 7,10684,2:22:00 AM
73,3/26/2016,10:00p,@,Portland Trail Blazers,L,,105,108,9,64,L 8,19506,2:18:00 AM
74,3/27/2016,8:00p,@,Golden State Warriors,L,,105,117,9,65,L 9,19596,2:06:00 AM
75,3/29/2016,7:00p,,Charlotte Hornets,L,,85,100,9,66,L 10,14486,1:57:00 AM
76,4/1/2016,7:00p,@,Charlotte Hornets,L,,91,100,9,67,L 11,19244,2:10:00 AM
77,4/2/2016,7:30p,,Indiana Pacers,L,,102,115,9,68,L 12,19213,2:17:00 AM
78,4/5/2016,7:00p,,New Orleans Pelicans,W,,107,93,10,68,W 1,10978,2:01:00 AM
79,4/8/2016,7:00p,,New York Knicks,L,,102,109,10,69,L 1,16076,2:21:00 AM
80,4/10/2016,5:00p,,Milwaukee Bucks,L,OT,108,109,10,70,L 2,16267,2:31:00 AM
81,4/12/2016,7:30p,@,Toronto Raptors,L,,98,122,10,71,L 3,19800,2:12:00 AM
82,4/13/2016,8:00p,@,Chicago Bulls,L,,105,115,10,72,L 4,21777,2:07:00 AM
1,10/26/2016,8:00p,,Oklahoma City Thunder,L,,97,103,0,1,L 1,20487,2:32:00 AM
2,10/29/2016,12:30p,,Atlanta Hawks,L,,72,104,0,2,L 2,16312,2:09:00 AM
3,11/1/2016,7:00p,,Orlando Magic,L,,101,103,0,3,L 3,12529,2:26:00 AM
4,11/2/2016,7:00p,@,Charlotte Hornets,L,,93,109,0,4,L 4,15275,2:07:00 AM
5,11/5/2016,7:00p,,Cleveland Cavaliers,L,,101,102,0,5,L 5,20497,2:15:00 AM
6,11/7/2016,7:00p,,Utah Jazz,L,,84,109,0,6,L 6,14168,2:09:00 AM
7,11/9/2016,7:00p,@,Indiana Pacers,L,OT,115,122,0,7,L 7,15360,2:38:00 AM
8,11/11/2016,7:00p,,Indiana Pacers,W,OT,109,105,1,7,W 1,17643,2:37:00 AM
9,11/12/2016,7:30p,@,Atlanta Hawks,L,,96,117,1,8,L 1,17399,2:08:00 AM
10,11/14/2016,8:00p,@,Houston Rockets,L,,88,115,1,9,L 2,13183,2:05:00 AM
11,11/16/2016,7:00p,,Washington Wizards,W,,109,102,2,9,W 1,14863,2:25:00 AM
12,11/17/2016,8:00p,@,Minnesota Timberwolves,L,,86,110,2,10,L 1,16866,2:19:00 AM
13,11/19/2016,7:30p,,Phoenix Suns,W,,120,105,3,10,W 1,18125,2:16:00 AM
14,11/21/2016,7:00p,,Miami Heat,W,,101,94,4,10,W 2,16477,2:21:00 AM
15,11/23/2016,7:00p,,Memphis Grizzlies,L,2OT,99,104,4,11,L 1,15880,3:07:00 AM
16,11/25/2016,7:30p,,Chicago Bulls,L,,89,105,4,12,L 2,18234,2:06:00 AM
17,11/27/2016,1:00p,,Cleveland Cavaliers,L,,108,112,4,13,L 3,19311,2:17:00 AM
18,11/28/2016,7:30p,@,Toronto Raptors,L,,95,122,4,14,L 4,19800,2:11:00 AM
19,12/2/2016,7:00p,,Orlando Magic,L,,88,105,4,15,L 5,13711,2:07:00 AM
20,12/3/2016,7:30p,,Boston Celtics,L,,106,107,4,16,L 6,17063,2:24:00 AM
21,12/5/2016,7:00p,,Denver Nuggets,L,,98,106,4,17,L 7,11815,2:25:00 AM
22,12/6/2016,8:00p,@,Memphis Grizzlies,L,,91,96,4,18,L 8,13521,2:26:00 AM
23,12/8/2016,8:00p,@,New Orleans Pelicans,W,,99,88,5,18,W 1,14158,2:09:00 AM
24,12/11/2016,6:00p,@,Detroit Pistons,W,,97,79,6,18,W 2,7244,2:04:00 AM
25,12/14/2016,7:00p,,Toronto Raptors,L,,114,123,6,19,L 1,16192,2:25:00 AM
26,12/16/2016,8:00p,,Los Angeles Lakers,L,,89,100,6,20,L 2,20491,2:29:00 AM
27,12/18/2016,6:00p,,Brooklyn Nets,W,,108,107,7,20,W 1,16460,2:25:00 AM
28,12/20/2016,7:00p,,New Orleans Pelicans,L,,93,108,7,21,L 1,16322,2:17:00 AM
29,12/23/2016,9:00p,@,Phoenix Suns,L,,116,123,7,22,L 2,16535,2:29:00 AM
30,12/26/2016,10:30p,@,Sacramento Kings,L,,100,102,7,23,L 3,17608,2:20:00 AM
31,12/29/2016,9:00p,@,Utah Jazz,L,,83,100,7,24,L 4,19911,2:10:00 AM
32,12/30/2016,9:00p,@,Denver Nuggets,W,,124,122,8,24,W 1,13619,2:33:00 AM
33,1/3/2017,7:00p,,Minnesota Timberwolves,W,,93,91,9,24,W 2,17124,2:19:00 AM
34,1/6/2017,7:30p,@,Boston Celtics,L,,106,110,9,25,L 1,18624,2:27:00 AM
35,1/8/2017,12:00p,@,Brooklyn Nets,W,,105,95,10,25,W 1,16123,2:19:00 AM
36,1/11/2017,7:00p,,New York Knicks,W,,98,97,11,25,W 2,18755,2:12:00 AM
37,1/13/2017,7:00p,,Charlotte Hornets,W,,102,93,12,25,W 3,18215,2:19:00 AM
38,1/14/2017,8:00p,@,Washington Wizards,L,,93,109,12,26,L 1,17880,2:07:00 AM
39,1/16/2017,3:30p,@,Milwaukee Bucks,W,,113,104,13,26,W 1,13261,2:14:00 AM
40,1/18/2017,7:00p,,Toronto Raptors,W,,94,89,14,26,W 2,17223,2:33:00 AM
41,1/20/2017,7:00p,,Portland Trail Blazers,W,,93,92,15,26,W 3,19476,2:18:00 AM
42,1/21/2017,7:00p,@,Atlanta Hawks,L,,93,110,15,27,L 1,15116,2:11:00 AM
43,1/24/2017,7:00p,,Los Angeles Clippers,W,,121,110,16,27,W 1,17591,2:24:00 AM
44,1/25/2017,8:00p,@,Milwaukee Bucks,W,,114,109,17,27,W 2,13663,2:21:00 AM
45,1/27/2017,8:00p,,Houston Rockets,L,,118,123,17,28,L 1,20588,2:33:00 AM
46,1/29/2017,7:00p,@,Chicago Bulls,L,,108,121,17,29,L 2,21606,2:11:00 AM
47,1/30/2017,6:00p,,Sacramento Kings,W,,122,119,18,29,W 1,15840,2:24:00 AM
48,2/1/2017,8:30p,@,Dallas Mavericks,L,,95,113,18,30,L 1,19263,2:12:00 AM
