Game,Day,Date,xStartTime,xLOG,xEndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,SO,Season,Wins,Losses,Streak,Rivalry,Penguins,Rangers,Devils,RegularSeason,ConfQF
37,Wednesday,2014-12-31,19:00:00,150,21:30:00,1,,Colorado Avalanche,3,4,-1,0,1,0,2014,14,16,-1,0,0,0,0,1,0
38,Friday,2015-01-02,19:00:00,150,21:30:00,1,,Carolina Hurricanes,1,2,-1,0,0,0,2014,14,17,-1,0,0,0,0,1,0
39,Saturday,2015-01-03,17:00:00,150,19:30:00,1,,New Jersey Devils,2,5,-3,0,0,0,2014,14,18,-2,1,0,0,1,1,0
40,Tuesday,2015-01-06,19:00:00,150,21:30:00,0,,Ottawa Senators,2,1,1,1,1,1,2014,15,18,1,0,0,0,0,1,0
41,Thursday,2015-01-08,19:00:00,150,21:30:00,0,,Washington Capitals,3,2,1,1,1,0,2014,16,18,2,0,0,0,0,1,0
42,Saturday,2015-01-10,17:00:00,150,19:30:00,0,,Boston Bruins,1,3,-2,0,0,0,2014,16,19,-1,0,0,0,0,1,0
43,Monday,2015-01-12,19:00:00,150,21:30:00,0,,Tampa Bay Lightning,7,3,4,1,0,0,2014,17,19,1,0,0,0,0,1,0
44,Wednesday,2015-01-14,19:00:00,150,21:30:00,1,,Washington Capitals,0,1,-1,0,0,0,2014,17,20,-1,0,0,0,0,1,0
45,Thursday,2015-01-15,19:00:00,150,21:30:00,0,,Vancouver Canucks,0,4,-4,0,0,0,2014,17,21,-2,0,0,0,0,1,0
46,Saturday,2015-01-17,17:00:00,150,19:30:00,1,,Buffalo Sabres,4,3,1,1,0,0,2014,18,21,1,0,0,0,0,1,0
47,Monday,2015-01-19,19:00:00,150,21:30:00,1,,New York Islanders,4,7,-3,0,0,0,2014,18,22,-1,0,0,0,0,1,0
48,Tuesday,2015-01-20,19:00:00,150,21:30:00,0,,Pittsburgh Penguins,3,2,1,1,1,0,2014,19,22,1,1,1,0,0,1,0
49,Tuesday,2015-01-27,19:00:00,150,21:30:00,0,,Arizona Coyotes,4,3,1,1,1,1,2014,20,22,2,0,0,0,0,1,0
50,Thursday,2015-01-29,19:00:00,150,21:30:00,0,,Winnipeg Jets,5,2,3,1,0,0,2014,21,22,3,0,0,0,0,1,0
51,Saturday,2015-01-31,17:00:00,150,19:30:00,0,,Toronto Maple Leafs,1,0,1,1,0,0,2014,22,22,4,0,0,0,0,1,0
52,Thursday,2015-02-05,19:00:00,150,21:30:00,0,,New York Islanders,2,3,-1,0,1,1,2014,22,22,-1,0,0,0,0,1,0
53,Sunday,2015-02-08,17:00:00,150,19:30:00,1,,Washington Capitals,3,1,2,1,0,0,2014,23,22,1,0,0,0,0,1,0
54,Tuesday,2015-02-10,19:00:00,150,21:30:00,1,,Montreal Canadiens,1,2,-1,0,1,0,2014,23,22,-1,0,0,0,0,1,0
55,Friday,2015-02-13,19:00:00,150,21:30:00,1,,Columbus Blue Jackets,3,4,-1,0,1,0,2014,23,22,-1,0,0,0,0,1,0
56,Sunday,2015-02-15,17:00:00,150,19:30:00,1,,Buffalo Sabres,2,1,1,1,0,0,2014,24,22,1,0,0,0,0,1,0
57,Tuesday,2015-02-17,19:00:00,150,21:30:00,0,,Columbus Blue Jackets,2,5,-3,0,0,0,2014,24,23,-1,0,0,0,0,1,0
58,Thursday,2015-02-19,19:00:00,150,21:30:00,0,,Buffalo Sabres,2,3,-1,0,1,1,2014,24,23,-1,0,0,0,0,1,0
59,Saturday,2015-02-21,17:00:00,150,19:30:00,0,,Nashville Predators,3,2,1,1,1,1,2014,25,23,1,0,0,0,0,1,0
60,Sunday,2015-02-22,17:00:00,150,19:30:00,0,,Washington Capitals,3,2,1,1,0,0,2014,26,23,2,0,0,0,0,1,0
61,Tuesday,2015-02-24,19:00:00,150,21:30:00,1,,Carolina Hurricanes,1,4,-3,0,0,0,2014,26,24,-1,0,0,0,0,1,0
62,Thursday,2015-02-26,19:00:00,150,21:30:00,1,,Toronto Maple Leafs,2,3,-1,0,0,0,2014,26,25,-2,0,0,0,0,1,0
63,Saturday,2015-02-28,17:00:00,150,19:30:00,0,,New York Rangers,4,2,2,1,0,0,2014,27,25,1,1,0,1,0,1,0
64,Tuesday,2015-03-03,19:00:00,150,21:30:00,0,,Calgary Flames,2,3,-1,0,1,0,2014,27,25,-1,0,0,0,0,1,0
65,Thursday,2015-03-05,19:00:00,150,21:30:00,0,,St. Louis Blues,3,1,2,1,0,0,2014,28,25,1,0,0,0,0,1,0
66,Saturday,2015-03-07,17:00:00,150,19:30:00,1,,Boston Bruins,2,3,-1,0,1,0,2014,28,25,-1,0,0,0,0,1,0
67,Sunday,2015-03-08,17:00:00,150,19:30:00,1,,New Jersey Devils,2,5,-3,0,0,0,2014,28,26,-1,1,0,0,1,1,0
68,Tuesday,2015-03-10,19:00:00,150,21:30:00,0,,Dallas Stars,1,2,-1,0,0,0,2014,28,27,-2,0,0,0,0,1,0
69,Thursday,2015-03-12,19:00:00,150,21:30:00,1,,St. Louis Blues,0,1,-1,0,1,1,2014,28,27,-1,0,0,0,0,1,0
70,Saturday,2015-03-14,17:00:00,150,19:30:00,0,,Detroit Red Wings,7,2,5,1,0,0,2014,29,27,1,0,0,0,0,1,0
71,Sunday,2015-03-15,17:00:00,150,19:30:00,1,,Ottawa Senators,1,2,-1,0,1,1,2014,29,27,-1,0,0,0,0,1,0
72,Tuesday,2015-03-17,19:00:00,150,21:30:00,1,,Vancouver Canucks,1,4,-3,0,0,0,2014,29,28,-1,0,0,0,0,1,0
73,Thursday,2015-03-19,19:00:00,150,21:30:00,1,,Calgary Flames,1,4,-3,0,0,0,2014,29,29,-2,0,0,0,0,1,0
74,Saturday,2015-03-21,17:00:00,150,19:30:00,1,,Edmonton Oilers,4,5,-1,0,1,0,2014,29,29,-1,0,0,0,0,1,0
75,Wednesday,2015-03-25,19:00:00,150,21:30:00,0,,Chicago Blackhawks,4,1,3,1,0,0,2014,30,29,1,0,0,0,0,1,0
76,Saturday,2015-03-28,17:00:00,150,19:30:00,0,,San Jose Sharks,2,3,-1,0,1,1,2014,30,29,-1,0,0,0,0,1,0
77,Wednesday,2015-04-01,19:00:00,150,21:30:00,1,,Pittsburgh Penguins,4,1,3,1,0,0,2014,31,29,1,1,1,0,0,1,0
78,Saturday,2015-04-04,17:00:00,150,19:30:00,1,,Carolina Hurricanes,2,3,-1,0,1,1,2014,31,29,-1,0,0,0,0,1,0
