,date,hour,region,stop_count,Game,Day,StartTime,xEndTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,Division,ConfChamp,SuperBowl,gameday,start_hour,end_hour,game_period,baseline,percent_change_in_stops,area_km2,stop_density
39,2014-09-07,7,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.414535666218035,-1.0,28.274333882308138,0.0
40,2014-09-07,8,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.0477792732166891,-1.0,3.141592653589793,0.0
41,2014-09-07,8,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.34791386271870794,-1.0,9.42477796076938,0.0
42,2014-09-07,8,3,2,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.154777927321669,0.7319347319347319,15.707963267948966,0.12732395447351627
43,2014-09-07,8,4,3,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.0174966352624495,1.9484126984126986,21.991148575128552,0.136418522650196
44,2014-09-07,8,5,2,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.9320323014804845,1.1458483754512634,28.274333882308138,0.0707355302630646
45,2014-09-07,9,1,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.0531628532974428,17.81012658227848,3.141592653589793,0.3183098861837907
46,2014-09-07,9,2,2,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.40242261103633914,3.9698996655518397,9.42477796076938,0.2122065907891938
47,2014-09-07,9,3,5,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.5531628532974429,2.219237435008665,15.707963267948966,0.3183098861837907
48,2014-09-07,9,4,4,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.7207267833109017,1.3245991396167387,21.991148575128552,0.18189136353359467
